pattern_id,gate,claim_type,evidence_risk,reviewer_concern,revision_direction,triggers,severity_hint,supporting_unit_count_by_gate,abstraction_level,source_basis
HYDRO-PAT-088,remote_sensing_data_assimilation,remote-sensing reproducibility,processing code and masks are unavailable,"Hydrological products require reproducible masks, thresholds and quality flags.","Release processing code, masks, flags and product versioning.",code; masks; quality flags,major if central claim depends on it,74,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-089,statistical_uncertainty,trend significance,autocorrelation and multiple testing are ignored,Spatial and temporal dependence inflate apparent significance.,"Account for autocorrelation, field significance and multiple comparisons.",trend; significance,major if central claim depends on it,69,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-090,statistical_uncertainty,global aggregate,uncertainty is summarized only as a mean or median,Aggregates can hide regional uncertainty and skewed distributions.,Report uncertainty distributions and stratified summaries.,global aggregate; uncertainty,major if central claim depends on it,69,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-091,statistical_uncertainty,regression interpretation,correlation coefficients are treated as mechanisms,Statistical association is not process attribution.,Add mechanism tests or frame as association.,regression; correlation,major if central claim depends on it,69,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-092,statistical_uncertainty,model performance,one metric is used for multi-objective hydrological behavior,"NSE/RMSE or accuracy alone may miss bias, timing and extremes.","Report complementary metrics for bias, timing, extremes and reliability.",RMSE; NSE; performance,major if central claim depends on it,69,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-093,statistical_uncertainty,uncertainty propagation,input uncertainty is not carried to final claims,Hydrological conclusions can be dominated by forcing/product uncertainty.,Propagate uncertainty through derived indicators and conclusions.,uncertainty propagation,major if central claim depends on it,69,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-094,statistical_uncertainty,sample-size claim,small sample is used for broad inference,Small or uneven samples limit generalization and statistical power.,Report power/coverage limits and avoid broad claims.,sample size,major if central claim depends on it,69,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-095,statistical_uncertainty,threshold sensitivity,binary classifications are based on one arbitrary cutoff,Maps and counts can be threshold artifacts.,Run sensitivity across plausible thresholds.,threshold sensitivity,major if central claim depends on it,69,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-096,statistical_uncertainty,non-stationarity,stationary statistics are used under changing climate and management,Hydrological extremes and demand may be non-stationary.,Test non-stationary alternatives or state stationarity assumption.,non-stationary; stationary,major if central claim depends on it,69,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-097,reproducibility_data_code,basin analysis,basin boundaries and station lists are not released,"Without exact spatial units, hydrological analysis cannot be replicated.","Release basin polygons, station IDs, masks and joins.",basin boundaries; station IDs,major if central claim depends on it,51,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-098,reproducibility_data_code,model workflow,configuration and parameter files are absent,"Code alone is insufficient without forcing, parameters and run settings.","Archive model configs, parameter sets and forcing versions.",configuration; parameters,major if central claim depends on it,51,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-099,reproducibility_data_code,remote-sensing workflow,quality flags and filtering rules are underspecified,Product-derived conclusions depend on filtering and masking decisions.,"Document flags, thresholds and exclusion rules.",quality flags; filtering,major if central claim depends on it,51,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-100,reproducibility_data_code,data availability,figure data do not reproduce the analysis,Figure data rarely allow rerunning spatial or model workflows.,Provide analysis-ready data and scripts for main figures.,figure data; scripts,major if central claim depends on it,51,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-101,reproducibility_data_code,third-party datasets,dataset versions and access dates are not recorded,Hydrological products change across versions and reprocessing.,"Record product version, access date and preprocessing.",dataset version,major if central claim depends on it,51,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-102,reproducibility_data_code,water-quality data,sampling metadata are missing,"Time, flow condition and method metadata are required to interpret concentration data.",Release sampling metadata and lab/method details.,sampling metadata,major if central claim depends on it,51,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-103,reproducibility_data_code,ML reproducibility,random seeds and splits are not fixed,Prediction results cannot be audited without exact splits and seeds.,"Release train/test splits, seeds and trained-model metadata.",random seed; splits,major if central claim depends on it,51,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-104,reproducibility_data_code,scenario reproducibility,scenario files and assumptions are not machine-readable,Scenario claims need transparent assumptions and reproducible input files.,Publish scenario tables/configs and processing scripts.,scenario files,major if central claim depends on it,51,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-105,novelty_related_work_positioning,new global product,closest existing products are not compared,Novelty depends on what is added beyond existing datasets and models.,"Compare scope, resolution, validation and scientific use cases against closest work.",existing product; novelty,major if central claim depends on it,121,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-106,novelty_related_work_positioning,methodological advance,technical novelty is not tied to hydrological value,A method must improve a hydrological inference or reduce a known limitation.,State the hydrological problem solved and benchmark improvement.,method; advance,major if central claim depends on it,121,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-107,novelty_related_work_positioning,regional case study,general claims exceed case-study novelty,Regional insight can be important but should not be framed as universal without transfer evidence.,Position as regional process evidence or add cross-region tests.,case study; generalization,major if central claim depends on it,121,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-108,novelty_related_work_positioning,dataset paper,data contribution lacks use-case validation,A dataset claim should show reliability and relevance for target applications.,Add benchmark tasks or application-oriented validation.,dataset; benchmark,major if central claim depends on it,121,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-109,novelty_related_work_positioning,climate-impact paper,related attribution/impact literature is under-synthesized,Hydroclimate claims must be positioned against established impact and attribution work.,Add focused related-work comparison by claim type.,climate impact; literature,major if central claim depends on it,121,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-110,novelty_related_work_positioning,water-resource assessment,water scarcity literature definitions differ,"Scarcity, stress, gap and security have distinct definitions.",Define terms and compare with closest metrics.,water scarcity; water security,major if central claim depends on it,121,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-111,novelty_related_work_positioning,hydrological remote sensing,prior missions or coarser products are ignored,Recent high-resolution products should be compared with legacy missions for context.,Add legacy-product context and limits.,legacy missions; altimetry,major if central claim depends on it,121,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-112,novelty_related_work_positioning,interdisciplinary claim,disciplinary contribution is unclear,"Hydrology, climate, ecology and policy claims need separate novelty statements.",Clarify primary contribution and secondary implications.,interdisciplinary; contribution,major if central claim depends on it,121,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-113,management_policy_interpretation,allocation recommendation,welfare or equity metric rests on simplified hydrology,Normative conclusions must reflect hydrological reliability and allocation rules.,Separate normative metric assumptions from hydrological uncertainty.,equity; allocation,major if central claim depends on it,12,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-114,management_policy_interpretation,adaptation planning,model resolution is too coarse for operational use,Planning guidance requires scale-appropriate uncertainty and decision context.,Describe decision scale and avoid operational prescriptions.,adaptation; planning,major if central claim depends on it,12,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-115,management_policy_interpretation,reservoir policy,operation constraints are omitted,"Reservoir decisions depend on legal, flood-control, energy and ecological constraints.",State operational constraints and scenario scope.,reservoir policy,major if central claim depends on it,12,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-116,management_policy_interpretation,water security ranking,ranking uncertainty is not shown,Rankings can be unstable under data and weighting uncertainty.,Report rank uncertainty and sensitivity to weights.,ranking; water security,major if central claim depends on it,12,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-117,management_policy_interpretation,transboundary systems,political feasibility is implied from hydrological optimization,Hydrological efficiency does not guarantee institutional feasibility.,Separate optimization from governance interpretation.,transboundary; governance,major if central claim depends on it,12,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-118,management_policy_interpretation,early warning claim,forecast skill is not mapped to actionable lead time,"Warning value depends on reliability, lead time and user thresholds.",Report operational metrics and decision-relevant thresholds.,early warning; lead time,major if central claim depends on it,12,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-119,management_policy_interpretation,risk reduction,hazard reduction is treated as loss reduction,"Risk reduction also depends on exposure, vulnerability and behavior.",Add risk pathway or restrict to hazard changes.,risk reduction; vulnerability,major if central claim depends on it,12,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-120,management_policy_interpretation,data-gap policy,observation expansion is recommended without value-of-information logic,Network recommendations need to show where additional data would change inference.,Use uncertainty/value-of-information analysis or qualify recommendation.,data gap; observing network,major if central claim depends on it,12,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-121,detail_audit,definition consistency,"key hydrological terms shift across text, methods and figures",Inconsistent terms weaken interpretation and reproducibility.,Create a definitions table and use terms consistently.,definition; terminology,minor to major depending on claim dependence,592,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-122,detail_audit,unit consistency,"water quantities mix depth, volume, flow and area-normalized metrics",Hydrological units encode different physical quantities.,Audit units and conversions across figures and tables.,units; conversion,minor to major depending on claim dependence,592,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-123,detail_audit,figure interpretability,"maps lack uncertainty, basin boundaries or validation overlays",Hydrological maps need context to support claims.,"Add uncertainty, validation points and basin boundaries where relevant.",map; figure,minor to major depending on claim dependence,592,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-124,detail_audit,supplementary traceability,critical methodological details are buried or fragmented,Reviewers must be able to trace each claim to methods and data.,Move essential definitions and validation summaries into the main text or structured supplement.,supplementary; methods,minor to major depending on claim dependence,592,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-125,detail_audit,threshold documentation,thresholds appear in captions but not methods,Classification thresholds must be reproducible.,"List all thresholds, baselines and sensitivity tests in methods.",threshold; caption,minor to major depending on claim dependence,592,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-126,detail_audit,acronym and variable clarity,variables are not defined at first use,Ambiguous variables invite misunderstanding of the hydrological evidence chain.,Define variables and use standard hydrological notation.,acronym; variable,minor to major depending on claim dependence,592,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-127,detail_audit,reference alignment,claims cite broad literature rather than closest methodological precedent,References should support the specific method or claim.,Replace generic citations with closest data/model/method precedents.,reference; related work,minor to major depending on claim dependence,592,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-128,detail_audit,data-code statement,availability statement is too generic,Generic availability statements do not satisfy hydrological reproducibility.,"Specify repositories, licenses, versions and access restrictions.",availability; repository,minor to major depending on claim dependence,592,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-129,referee_voice_output_format,review report structure,comments become a checklist disconnected from the manuscript claim,Nature-style reports should first identify contribution and central evidence-chain risk.,"Open with contribution, then organize major concerns by claim support.",review structure,format integrity issue,0,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-130,referee_voice_output_format,review tone,critique is either hostile or too vague,"A strong referee is firm, precise and revision-oriented.","State issue, reason and feasible revision path.",tone; reviewer voice,format integrity issue,0,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-131,referee_voice_output_format,publication judgment,no clear severity distinction is made,Authors need to know which issues affect publication-level support.,"Separate fatal, major, revision-required and minor issues.",severity; judgment,format integrity issue,0,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-132,referee_voice_output_format,specific comments,line comments repeat major concerns without actionable detail,"Specific comments should improve definitions, metrics, uncertainty and reproducibility.",Use targeted comments tied to claim calibration.,specific comments,format integrity issue,0,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-133,referee_voice_output_format,independent referees,multiple referees repeat the same gate,Independent reports should stress different parts of the evidence chain.,Assign complementary emphases across 2-4 referees.,independent referees,format integrity issue,0,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-134,referee_voice_output_format,hidden internals,gate labels or pattern IDs leak into final report,"The output should read like referee comments, not a diagnostic trace.",Use gates internally only and remove IDs from final review.,gate labels; pattern IDs,format integrity issue,0,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-135,referee_voice_output_format,revision direction,major comments lack a path forward,Critique should explain what additional analysis or reframing would resolve the concern.,Attach each major concern to revision or bounded claim language.,revision path,format integrity issue,0,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-136,referee_voice_output_format,balance,review ignores manuscript strengths,Nature-style review recognizes contribution before evidence limits.,"State contribution, then calibrate limitations.",contribution; strengths,format integrity issue,0,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-137,trend_attribution_temporal_support,design-standard or return-period claim,historical stationarity is assumed after arguing that climate or basin conditions changed,A manuscript cannot both rely on stationary design logic and claim non-stationary hydroclimate without reconciling the two.,"State whether the analysis is descriptive, design-oriented or adaptation-oriented, and test baseline/return-period sensitivity under non-stationary assumptions.",stationarity; return period; design standard; baseline,contextual stress-test; does not raise severity without manuscript-specific evidence,0,non-verbatim cross-literature stress-test pattern,abstracted from classic Nature/Science hydrology controversies; contextual only; no source text redistributed
HYDRO-PAT-138,management_policy_interpretation,adaptation or water-planning claim,climate projection uncertainty is invoked without a decision-relevant pathway,"Water-management claims need to connect changing information, uncertainty and decision time scales rather than simply declaring historical practice obsolete.","Define the decision context, planning horizon and uncertainty treatment, or narrow the claim to scientific diagnosis.",adaptation; planning; decision; management,contextual stress-test; does not raise severity without manuscript-specific evidence,0,non-verbatim cross-literature stress-test pattern,abstracted from classic Nature/Science hydrology controversies; contextual only; no source text redistributed
HYDRO-PAT-139,scale_basin_consistency,global freshwater threshold claim,a global water limit is treated as a basin-scale or aquifer-scale management threshold,Freshwater constraints are spatially heterogeneous and cannot be transferred from global accounting to local management without allocation logic.,"Translate global metrics into basin, aquifer, green-water and blue-water terms, and state limits of threshold interpretation.",planetary boundary; freshwater use; basin allocation,contextual stress-test; does not raise severity without manuscript-specific evidence,0,non-verbatim cross-literature stress-test pattern,abstracted from classic Nature/Science hydrology controversies; contextual only; no source text redistributed
HYDRO-PAT-140,claim_evidence_calibration,global water-security or biodiversity threat map,composite threat scores are interpreted as measured impact,"Composite indices depend on weighting, normalization and mitigation assumptions and should not be presented as directly observed harm.","Report component-wise sensitivity and separate mapped pressure, mitigation capacity, exposure and realized consequence.",water security; biodiversity; threat index; composite,contextual stress-test; does not raise severity without manuscript-specific evidence,0,non-verbatim cross-literature stress-test pattern,abstracted from classic Nature/Science hydrology controversies; contextual only; no source text redistributed
HYDRO-PAT-141,statistical_uncertainty,composite hydrological index claim,index weights and transformations are hidden or treated as neutral,"Composite indicators can be dominated by normalization choices, correlation structure or arbitrary weights.","Provide weight, normalization and leave-one-component-out sensitivity; identify which components drive conclusions.",index; weighting; normalization; sensitivity,contextual stress-test; does not raise severity without manuscript-specific evidence,0,non-verbatim cross-literature stress-test pattern,abstracted from classic Nature/Science hydrology controversies; contextual only; no source text redistributed
HYDRO-PAT-142,hydrological_variable_validity,drought change claim,a single drought metric is treated as the drought phenomenon itself,"Drought conclusions are metric-dependent and should distinguish meteorological, agricultural, hydrological and groundwater drought.",Compare drought indicators or state which drought type the chosen metric can support.,PDSI; SPEI; drought index; aridity,contextual stress-test; does not raise severity without manuscript-specific evidence,0,non-verbatim cross-literature stress-test pattern,abstracted from classic Nature/Science hydrology controversies; contextual only; no source text redistributed
HYDRO-PAT-143,model_assumption_sensitivity,evaporative-demand drought claim,PET or atmospheric-demand formulation controls drying conclusions,Drought projections can be sensitive to how evaporative demand and soil-water limitation are represented.,Test alternate PET/ET formulations or propagate this structural uncertainty into drought interpretation.,PET; evaporative demand; aridity; soil moisture,contextual stress-test; does not raise severity without manuscript-specific evidence,0,non-verbatim cross-literature stress-test pattern,abstracted from classic Nature/Science hydrology controversies; contextual only; no source text redistributed
HYDRO-PAT-144,human_water_interaction,virtual-water or food-trade groundwater claim,water withdrawal is conflated with non-renewable depletion or trade responsibility,"Embodied-water conclusions need explicit distinctions among withdrawal, depletion, recharge, irrigation source and trade allocation.","Provide depletion accounting, source-water assumptions and trade-allocation sensitivity before making responsibility claims.",virtual water; groundwater depletion; crop trade; irrigation,contextual stress-test; does not raise severity without manuscript-specific evidence,0,non-verbatim cross-literature stress-test pattern,abstracted from classic Nature/Science hydrology controversies; contextual only; no source text redistributed
HYDRO-PAT-145,claim_evidence_calibration,global flood-risk projection claim,"hazard, exposure, vulnerability and protection standards are collapsed into one risk narrative","Flood risk is an evidence chain, not a single modeled layer.","Separate hazard change, exposed population/assets, vulnerability, protection standards and climate-model spread.",global flood risk; exposure; vulnerability; flood protection,contextual stress-test; does not raise severity without manuscript-specific evidence,0,non-verbatim cross-literature stress-test pattern,abstracted from classic Nature/Science hydrology controversies; contextual only; no source text redistributed
HYDRO-PAT-146,model_assumption_sensitivity,basin runoff loss under warming,"temperature, snow, ET, precipitation and operations are not decomposed","Basin water-balance attribution requires separating thermodynamic, cryospheric, precipitation and management pathways.",Decompose runoff sensitivity and test reservoir/demand assumptions before policy-level conclusions.,Colorado River; snow; warming; runoff sensitivity,contextual stress-test; does not raise severity without manuscript-specific evidence,0,non-verbatim cross-literature stress-test pattern,abstracted from classic Nature/Science hydrology controversies; contextual only; no source text redistributed
HYDRO-PAT-147,management_policy_interpretation,water scarcity to conflict claim,hydrological scarcity is treated as a deterministic driver of conflict or cooperation,"Water scarcity effects are mediated by institutions, infrastructure, allocation rules and exposure.",Frame conflict/cooperation claims as conditional and include governance or socioeconomic mediators where possible.,water scarcity; conflict; transboundary; governance,contextual stress-test; does not raise severity without manuscript-specific evidence,0,non-verbatim cross-literature stress-test pattern,abstracted from classic Nature/Science hydrology controversies; contextual only; no source text redistributed
HYDRO-PAT-148,reproducibility_data_code,global synthesis or boundary claim,classification masks and thresholds are insufficiently reproducible,"High-level global conclusions depend on exact masks, thresholds, component data and aggregation choices.","Release masks, threshold values, component datasets and aggregation scripts needed to reproduce core maps and summary numbers.",global synthesis; threshold; mask; aggregation,contextual stress-test; does not raise severity without manuscript-specific evidence,0,non-verbatim cross-literature stress-test pattern,abstracted from classic Nature/Science hydrology controversies; contextual only; no source text redistributed
HYDRO-PAT-149,detail_audit,figure-level claim anchoring,figure panels are cited for claims they do not directly show,Figure-level support should match the exact claim made in the surrounding text.,"Ask authors to revise the claim, add the missing analysis, or adjust the caption so the figure and text align.",figure; panel; caption; headline claim,minor to major depending on claim dependence,0,non-verbatim output-control pattern,abstracted as reviewer style control; contextual only; no source text redistributed
HYDRO-PAT-150,detail_audit,table-level aggregation check,tables report global or pooled metrics that hide regional or regime-specific failures,"Hydrological performance and inference often change by basin, aquifer, climate region, event type or regulation status.",Request stratified table entries or supplementary tables for regimes that control the conclusion.,table; global mean; pooled metric; stratified,minor to major depending on claim dependence,0,non-verbatim output-control pattern,abstracted as reviewer style control; contextual only; no source text redistributed
HYDRO-PAT-151,detail_audit,method-to-result traceability,"headline numbers cannot be traced to masks, thresholds, filters, data versions or aggregation rules",A high-impact hydrology claim should be reproducible from methods to figure and summary number.,"Ask for a figure-to-method traceability table with datasets, masks, thresholds, uncertainty treatment and scripts.",methods; mask; threshold; dataset version; headline number,minor to major depending on claim dependence,0,non-verbatim output-control pattern,abstracted as reviewer style control; contextual only; no source text redistributed
HYDRO-PAT-152,detail_audit,wording calibration by short quotation,a local sentence or phrase overstates what the data demonstrate,Directly quoting a short claim can make overstatement concerns precise and fair.,Quote a short exact phrase in bold and explain the evidence boundary; do not quote long passages or invent text anchors.,wording; overclaim; exact phrase; quote,minor to major depending on claim dependence,0,non-verbatim output-control pattern,abstracted as reviewer style control; contextual only; no source text redistributed
HYDRO-PAT-153,novelty_related_work_positioning,closest-product comparison,"novelty is stated without comparison to the nearest product, model, dataset or regional inventory","Novelty should be established against the closest hydrological precedent, not against broad field gaps.","Request a comparison table covering domain, resolution, period, validation, uncertainty, limitations and hydrological inference.",novel; first; product; dataset; model; inventory,minor to major depending on claim dependence,0,non-verbatim output-control pattern,abstracted as reviewer style control; contextual only; no source text redistributed
HYDRO-PAT-154,novelty_related_work_positioning,product novelty versus scientific insight,improved coverage or resolution is presented as new process understanding,"A new map, model or dataset is not automatically a new hydrological mechanism or conclusion.","Ask authors to state whether the advance is technical capability, empirical description, prediction skill or process insight.",high resolution; global map; dataset; process insight,minor to major depending on claim dependence,0,non-verbatim output-control pattern,abstracted as reviewer style control; contextual only; no source text redistributed
HYDRO-PAT-155,novelty_related_work_positioning,failure-domain comparison,performance claims ignore where the method fails relative to earlier work,"Top-journal novelty should include the limits of improvement, especially in difficult basins and events.","Request comparison in data-sparse, regulated, arid, mountainous, tropical or extreme-event regimes.",performance; improvement; comparison; regime,minor to major depending on claim dependence,0,non-verbatim output-control pattern,abstracted as reviewer style control; contextual only; no source text redistributed
HYDRO-PAT-156,referee_voice_output_format,specific comments depth,"specific comments remain generic and do not help authors revise figures, tables or methods",Specific comments should identify local evidence anchors and concrete corrections.,"Include concise comments tied to figures, tables, methods, definitions, thresholds, uncertainty or reproducibility.",specific comments; figure; table; methods,format integrity issue,0,non-verbatim output-control pattern,abstracted as reviewer style control; contextual only; no source text redistributed
HYDRO-PAT-157,referee_voice_output_format,question-based clarification,uncertain local choices are criticized too bluntly or left ambiguous,A short question can make a technical clarification request precise and collegial.,"Use questions sparingly for unclear masks, thresholds, validation splits, definitions or data availability.",could the authors clarify; threshold; split; definition,format integrity issue,0,non-verbatim output-control pattern,abstracted as reviewer style control; contextual only; no source text redistributed
HYDRO-PAT-158,referee_voice_output_format,major-minor separation,minor presentation problems are inflated or major evidence problems are buried as line edits,Publication-level review should separate central evidence-chain risks from local clarity fixes.,"Place claim-threatening issues in major comments and local figure, wording or notation issues in specific comments.",major comments; minor comments; specific comments,format integrity issue,0,non-verbatim output-control pattern,abstracted as reviewer style control; contextual only; no source text redistributed
