pattern_id,gate,scope,claim_type,trigger,reviewer_concern,evidence_risk,revision_direction,severity_default,support_units,support_dois,style_note,non_verbatim
MS-PAT-0056,stability_durability_and_operando_relevance,porous_frameworks_and_sorbents,stability_or_long_term_utility_claim,When porous frameworks and sorbents claims rely on stability durability and operando relevance evidence.,"In porous frameworks and sorbents, reviewers commonly test whether reviewers request long-term tests, environmental stressors, cycling, degradation analysis, and post-test characterization.","Short-term or ideal-condition tests may not support claims of durability, stability, cycling, or operational robustness.","Add durability protocols, stress conditions, failure analysis, before/after characterization, and realistic use-condition tests.",major,27,8,"Tie the concern to the specific material system, measurement protocol, and claim strength.",true
MS-PAT-0057,stability_durability_and_operando_relevance,soft_polymers_and_bioelectronic_materials,stability_or_long_term_utility_claim,When soft polymers and bioelectronic materials claims rely on stability durability and operando relevance evidence.,"In soft polymers and bioelectronic materials, reviewers commonly test whether reviewers request long-term tests, environmental stressors, cycling, degradation analysis, and post-test characterization.","Short-term or ideal-condition tests may not support claims of durability, stability, cycling, or operational robustness.","Add durability protocols, stress conditions, failure analysis, before/after characterization, and realistic use-condition tests.",moderate,16,5,"Tie the concern to the specific material system, measurement protocol, and claim strength.",true
MS-PAT-0058,stability_durability_and_operando_relevance,two_dimensional_and_electronic_materials,stability_or_long_term_utility_claim,When two dimensional and electronic materials claims rely on stability durability and operando relevance evidence.,"In two dimensional and electronic materials, reviewers commonly test whether reviewers request long-term tests, environmental stressors, cycling, degradation analysis, and post-test characterization.","Short-term or ideal-condition tests may not support claims of durability, stability, cycling, or operational robustness.","Add durability protocols, stress conditions, failure analysis, before/after characterization, and realistic use-condition tests.",major,93,9,"Tie the concern to the specific material system, measurement protocol, and claim strength.",true
MS-PAT-0059,statistical_inference_uncertainty_and_replicates,cross_materials_science,quantitative_difference_or_generalization_claim,When a manuscript makes a quantitative difference or generalization claim.,"Reviewers request replicate counts, error bars, significance tests, variance, and sample representativeness.","Quantitative differences may be based on too few replicates, unclear statistics, or unreported uncertainty.","Report n, independent repeats, uncertainty intervals, statistical tests, and criteria for excluding measurements.",major,39,17,"Write as a materials-science referee: firm, evidence-linked, and revision-oriented.",true
MS-PAT-0060,statistical_inference_uncertainty_and_replicates,energy_and_electrochemical_materials,quantitative_difference_or_generalization_claim,When energy and electrochemical materials claims rely on statistical inference uncertainty and replicates evidence.,"In energy and electrochemical materials, reviewers commonly test whether reviewers request replicate counts, error bars, significance tests, variance, and sample representativeness.","Quantitative differences may be based on too few replicates, unclear statistics, or unreported uncertainty.","Report n, independent repeats, uncertainty intervals, statistical tests, and criteria for excluding measurements.",moderate,11,6,"Tie the concern to the specific material system, measurement protocol, and claim strength.",true
MS-PAT-0061,statistical_inference_uncertainty_and_replicates,two_dimensional_and_electronic_materials,quantitative_difference_or_generalization_claim,When two dimensional and electronic materials claims rely on statistical inference uncertainty and replicates evidence.,"In two dimensional and electronic materials, reviewers commonly test whether reviewers request replicate counts, error bars, significance tests, variance, and sample representativeness.","Quantitative differences may be based on too few replicates, unclear statistics, or unreported uncertainty.","Report n, independent repeats, uncertainty intervals, statistical tests, and criteria for excluding measurements.",moderate,11,4,"Tie the concern to the specific material system, measurement protocol, and claim strength.",true
MS-PAT-0062,structural_characterization_and_spatial_evidence,cross_materials_science,structure_or_morphology_claim,When a manuscript makes a structure or morphology claim.,"Reviewers request higher-resolution, more representative, or orthogonal structural evidence.","Structural, morphological, or interfacial claims may be under-supported by limited or non-representative characterization.","Add complementary microscopy/spectroscopy/diffraction, representative sampling, image quantification, and clear assignment of features.",major,655,42,"Write as a materials-science referee: firm, evidence-linked, and revision-oriented.",true
MS-PAT-0063,structural_characterization_and_spatial_evidence,computational_materials_design,structure_or_morphology_claim,When computational materials design claims rely on structural characterization and spatial evidence evidence.,"In computational materials design, reviewers commonly test whether reviewers request higher-resolution, more representative, or orthogonal structural evidence.","Structural, morphological, or interfacial claims may be under-supported by limited or non-representative characterization.","Add complementary microscopy/spectroscopy/diffraction, representative sampling, image quantification, and clear assignment of features.",major,26,6,"Tie the concern to the specific material system, measurement protocol, and claim strength.",true
MS-PAT-0064,structural_characterization_and_spatial_evidence,energy_and_electrochemical_materials,structure_or_morphology_claim,When energy and electrochemical materials claims rely on structural characterization and spatial evidence evidence.,"In energy and electrochemical materials, reviewers commonly test whether reviewers request higher-resolution, more representative, or orthogonal structural evidence.","Structural, morphological, or interfacial claims may be under-supported by limited or non-representative characterization.","Add complementary microscopy/spectroscopy/diffraction, representative sampling, image quantification, and clear assignment of features.",major,186,12,"Tie the concern to the specific material system, measurement protocol, and claim strength.",true
MS-PAT-0065,structural_characterization_and_spatial_evidence,general_materials_science,structure_or_morphology_claim,When general materials science claims rely on structural characterization and spatial evidence evidence.,"In general materials science, reviewers commonly test whether reviewers request higher-resolution, more representative, or orthogonal structural evidence.","Structural, morphological, or interfacial claims may be under-supported by limited or non-representative characterization.","Add complementary microscopy/spectroscopy/diffraction, representative sampling, image quantification, and clear assignment of features.",major,23,3,"Tie the concern to the specific material system, measurement protocol, and claim strength.",true
MS-PAT-0066,structural_characterization_and_spatial_evidence,optical_photonic_and_emissive_materials,structure_or_morphology_claim,When optical photonic and emissive materials claims rely on structural characterization and spatial evidence evidence.,"In optical photonic and emissive materials, reviewers commonly test whether reviewers request higher-resolution, more representative, or orthogonal structural evidence.","Structural, morphological, or interfacial claims may be under-supported by limited or non-representative characterization.","Add complementary microscopy/spectroscopy/diffraction, representative sampling, image quantification, and clear assignment of features.",major,23,6,"Tie the concern to the specific material system, measurement protocol, and claim strength.",true
MS-PAT-0067,structural_characterization_and_spatial_evidence,porous_frameworks_and_sorbents,structure_or_morphology_claim,When porous frameworks and sorbents claims rely on structural characterization and spatial evidence evidence.,"In porous frameworks and sorbents, reviewers commonly test whether reviewers request higher-resolution, more representative, or orthogonal structural evidence.","Structural, morphological, or interfacial claims may be under-supported by limited or non-representative characterization.","Add complementary microscopy/spectroscopy/diffraction, representative sampling, image quantification, and clear assignment of features.",major,49,13,"Tie the concern to the specific material system, measurement protocol, and claim strength.",true
MS-PAT-0068,structural_characterization_and_spatial_evidence,soft_polymers_and_bioelectronic_materials,structure_or_morphology_claim,When soft polymers and bioelectronic materials claims rely on structural characterization and spatial evidence evidence.,"In soft polymers and bioelectronic materials, reviewers commonly test whether reviewers request higher-resolution, more representative, or orthogonal structural evidence.","Structural, morphological, or interfacial claims may be under-supported by limited or non-representative characterization.","Add complementary microscopy/spectroscopy/diffraction, representative sampling, image quantification, and clear assignment of features.",major,87,9,"Tie the concern to the specific material system, measurement protocol, and claim strength.",true
MS-PAT-0069,structural_characterization_and_spatial_evidence,two_dimensional_and_electronic_materials,structure_or_morphology_claim,When two dimensional and electronic materials claims rely on structural characterization and spatial evidence evidence.,"In two dimensional and electronic materials, reviewers commonly test whether reviewers request higher-resolution, more representative, or orthogonal structural evidence.","Structural, morphological, or interfacial claims may be under-supported by limited or non-representative characterization.","Add complementary microscopy/spectroscopy/diffraction, representative sampling, image quantification, and clear assignment of features.",major,256,26,"Tie the concern to the specific material system, measurement protocol, and claim strength.",true
MS-PAT-0070,structure_property_causality_and_mechanism,cross_materials_science,mechanistic_or_structure_property_claim,When a manuscript makes a mechanistic or structure property claim.,"Reviewers ask for perturbation, control, in situ, operando, or alternative-mechanism tests.",A correlation between structure and performance is presented as a causal mechanism.,"Separate correlation from causality, add targeted controls, validate proposed pathways, and discuss plausible alternatives.",major,249,39,"Write as a materials-science referee: firm, evidence-linked, and revision-oriented.",true
MS-PAT-0071,structure_property_causality_and_mechanism,computational_materials_design,mechanistic_or_structure_property_claim,When computational materials design claims rely on structure property causality and mechanism evidence.,"In computational materials design, reviewers commonly test whether reviewers ask for perturbation, control, in situ, operando, or alternative-mechanism tests.",A correlation between structure and performance is presented as a causal mechanism.,"Separate correlation from causality, add targeted controls, validate proposed pathways, and discuss plausible alternatives.",moderate,11,6,"Tie the concern to the specific material system, measurement protocol, and claim strength.",true
MS-PAT-0072,structure_property_causality_and_mechanism,energy_and_electrochemical_materials,mechanistic_or_structure_property_claim,When energy and electrochemical materials claims rely on structure property causality and mechanism evidence.,"In energy and electrochemical materials, reviewers commonly test whether reviewers ask for perturbation, control, in situ, operando, or alternative-mechanism tests.",A correlation between structure and performance is presented as a causal mechanism.,"Separate correlation from causality, add targeted controls, validate proposed pathways, and discuss plausible alternatives.",major,65,11,"Tie the concern to the specific material system, measurement protocol, and claim strength.",true
MS-PAT-0073,structure_property_causality_and_mechanism,general_materials_science,mechanistic_or_structure_property_claim,When general materials science claims rely on structure property causality and mechanism evidence.,"In general materials science, reviewers commonly test whether reviewers ask for perturbation, control, in situ, operando, or alternative-mechanism tests.",A correlation between structure and performance is presented as a causal mechanism.,"Separate correlation from causality, add targeted controls, validate proposed pathways, and discuss plausible alternatives.",moderate,12,3,"Tie the concern to the specific material system, measurement protocol, and claim strength.",true
MS-PAT-0074,structure_property_causality_and_mechanism,optical_photonic_and_emissive_materials,mechanistic_or_structure_property_claim,When optical photonic and emissive materials claims rely on structure property causality and mechanism evidence.,"In optical photonic and emissive materials, reviewers commonly test whether reviewers ask for perturbation, control, in situ, operando, or alternative-mechanism tests.",A correlation between structure and performance is presented as a causal mechanism.,"Separate correlation from causality, add targeted controls, validate proposed pathways, and discuss plausible alternatives.",moderate,8,4,"Tie the concern to the specific material system, measurement protocol, and claim strength.",true
MS-PAT-0075,structure_property_causality_and_mechanism,porous_frameworks_and_sorbents,mechanistic_or_structure_property_claim,When porous frameworks and sorbents claims rely on structure property causality and mechanism evidence.,"In porous frameworks and sorbents, reviewers commonly test whether reviewers ask for perturbation, control, in situ, operando, or alternative-mechanism tests.",A correlation between structure and performance is presented as a causal mechanism.,"Separate correlation from causality, add targeted controls, validate proposed pathways, and discuss plausible alternatives.",major,27,12,"Tie the concern to the specific material system, measurement protocol, and claim strength.",true
MS-PAT-0076,structure_property_causality_and_mechanism,soft_polymers_and_bioelectronic_materials,mechanistic_or_structure_property_claim,When soft polymers and bioelectronic materials claims rely on structure property causality and mechanism evidence.,"In soft polymers and bioelectronic materials, reviewers commonly test whether reviewers ask for perturbation, control, in situ, operando, or alternative-mechanism tests.",A correlation between structure and performance is presented as a causal mechanism.,"Separate correlation from causality, add targeted controls, validate proposed pathways, and discuss plausible alternatives.",major,58,8,"Tie the concern to the specific material system, measurement protocol, and claim strength.",true
MS-PAT-0077,structure_property_causality_and_mechanism,two_dimensional_and_electronic_materials,mechanistic_or_structure_property_claim,When two dimensional and electronic materials claims rely on structure property causality and mechanism evidence.,"In two dimensional and electronic materials, reviewers commonly test whether reviewers ask for perturbation, control, in situ, operando, or alternative-mechanism tests.",A correlation between structure and performance is presented as a causal mechanism.,"Separate correlation from causality, add targeted controls, validate proposed pathways, and discuss plausible alternatives.",major,67,17,"Tie the concern to the specific material system, measurement protocol, and claim strength.",true
MS-PAT-0078,synthesis_route_and_reproducibility,cross_materials_science,synthesis_or_processing_claim,When a manuscript makes a synthesis or processing claim.,"Reviewers ask for complete synthesis details, batch-to-batch consistency, process windows, yields, and failure cases.",The target material may not be reproducibly accessible from the described route or processing window.,"Add full protocols, key parameters, replicate batches, yield/throughput information, and limits of the synthesis route.",major,278,39,"Write as a materials-science referee: firm, evidence-linked, and revision-oriented.",true
MS-PAT-0079,synthesis_route_and_reproducibility,computational_materials_design,synthesis_or_processing_claim,When computational materials design claims rely on synthesis route and reproducibility evidence.,"In computational materials design, reviewers commonly test whether reviewers ask for complete synthesis details, batch-to-batch consistency, process windows, yields, and failure cases.",The target material may not be reproducibly accessible from the described route or processing window.,"Add full protocols, key parameters, replicate batches, yield/throughput information, and limits of the synthesis route.",moderate,16,4,"Tie the concern to the specific material system, measurement protocol, and claim strength.",true
MS-PAT-0080,synthesis_route_and_reproducibility,energy_and_electrochemical_materials,synthesis_or_processing_claim,When energy and electrochemical materials claims rely on synthesis route and reproducibility evidence.,"In energy and electrochemical materials, reviewers commonly test whether reviewers ask for complete synthesis details, batch-to-batch consistency, process windows, yields, and failure cases.",The target material may not be reproducibly accessible from the described route or processing window.,"Add full protocols, key parameters, replicate batches, yield/throughput information, and limits of the synthesis route.",major,69,11,"Tie the concern to the specific material system, measurement protocol, and claim strength.",true
MS-PAT-0081,synthesis_route_and_reproducibility,optical_photonic_and_emissive_materials,synthesis_or_processing_claim,When optical photonic and emissive materials claims rely on synthesis route and reproducibility evidence.,"In optical photonic and emissive materials, reviewers commonly test whether reviewers ask for complete synthesis details, batch-to-batch consistency, process windows, yields, and failure cases.",The target material may not be reproducibly accessible from the described route or processing window.,"Add full protocols, key parameters, replicate batches, yield/throughput information, and limits of the synthesis route.",moderate,18,5,"Tie the concern to the specific material system, measurement protocol, and claim strength.",true
MS-PAT-0082,synthesis_route_and_reproducibility,porous_frameworks_and_sorbents,synthesis_or_processing_claim,When porous frameworks and sorbents claims rely on synthesis route and reproducibility evidence.,"In porous frameworks and sorbents, reviewers commonly test whether reviewers ask for complete synthesis details, batch-to-batch consistency, process windows, yields, and failure cases.",The target material may not be reproducibly accessible from the described route or processing window.,"Add full protocols, key parameters, replicate batches, yield/throughput information, and limits of the synthesis route.",major,37,11,"Tie the concern to the specific material system, measurement protocol, and claim strength.",true
MS-PAT-0083,synthesis_route_and_reproducibility,soft_polymers_and_bioelectronic_materials,synthesis_or_processing_claim,When soft polymers and bioelectronic materials claims rely on synthesis route and reproducibility evidence.,"In soft polymers and bioelectronic materials, reviewers commonly test whether reviewers ask for complete synthesis details, batch-to-batch consistency, process windows, yields, and failure cases.",The target material may not be reproducibly accessible from the described route or processing window.,"Add full protocols, key parameters, replicate batches, yield/throughput information, and limits of the synthesis route.",major,39,8,"Tie the concern to the specific material system, measurement protocol, and claim strength.",true
MS-PAT-0084,synthesis_route_and_reproducibility,two_dimensional_and_electronic_materials,synthesis_or_processing_claim,When two dimensional and electronic materials claims rely on synthesis route and reproducibility evidence.,"In two dimensional and electronic materials, reviewers commonly test whether reviewers ask for complete synthesis details, batch-to-batch consistency, process windows, yields, and failure cases.",The target material may not be reproducibly accessible from the described route or processing window.,"Add full protocols, key parameters, replicate batches, yield/throughput information, and limits of the synthesis route.",major,92,15,"Tie the concern to the specific material system, measurement protocol, and claim strength.",true
MS-PAT-0085,composition_phase_purity_and_identity,cross_materials_science,material_identity_or_phase_claim,"If a property is assigned to a newly named phase, ask for orthogonal identity evidence and impurity exclusion.",Reviewers ask whether the observed properties arise from the stated phase and composition.,"The claimed material identity may be confounded by impurity phases, mixed composition, solvent, dopants, or incomplete assignment.","Provide orthogonal compositional and phase evidence, quantify purity, assign phases, and rule out likely impurities.",major,197,33,Apply only when the manuscript claim actually depends on this evidence chain.,true
MS-PAT-0086,structural_characterization_and_spatial_evidence,porous_frameworks_and_sorbents,structure_or_morphology_claim,"For porous/framework materials, require pore structure, crystallinity, solvent/guest occupancy, and post-activation integrity to align with sorption claims.","Reviewers request higher-resolution, more representative, or orthogonal structural evidence.","Structural, morphological, or interfacial claims may be under-supported by limited or non-representative characterization.","Add complementary microscopy/spectroscopy/diffraction, representative sampling, image quantification, and clear assignment of features.",major,655,42,Apply only when the manuscript claim actually depends on this evidence chain.,true
MS-PAT-0087,property_measurement_and_metric_validity,porous_frameworks_and_sorbents,material_property_or_performance_claim,"For adsorption or capture claims, check units, normalization, kinetics, cycling, selectivity, humidity, and comparison to appropriate sorbents.","Reviewers challenge sensitivity, capacity, modulus, conductivity, efficiency, adsorption, or other property measurements.","The selected metric, measurement protocol, or unit normalization may not support the claimed performance.","Define protocols, justify metrics, normalize consistently, add controls, and report uncertainty and replicate statistics.",major,247,35,Apply only when the manuscript claim actually depends on this evidence chain.,true
MS-PAT-0088,computational_design_and_model_validation,computational_materials_design,computational_prediction_or_design_claim,"For AI or computational discovery claims, ask how training data, validation split, chemical feasibility, and experimental confirmation constrain the design space.","Reviewers ask for assumptions, convergence, descriptors, training/test split, ablations, external validation, and uncertainty.","A model, simulation, DFT calculation, or machine-learning design may not be sufficiently validated experimentally or out of distribution.","Report model settings, validation strategy, failure modes, uncertainty, and experimental confirmation of key predictions.",major,169,28,Apply only when the manuscript claim actually depends on this evidence chain.,true
MS-PAT-0089,structure_property_causality_and_mechanism,two_dimensional_and_electronic_materials,mechanistic_or_structure_property_claim,"For 2D/electronic materials, require that device behavior is separated from contact, substrate, defect, and integration artifacts.","Reviewers ask for perturbation, control, in situ, operando, or alternative-mechanism tests.",A correlation between structure and performance is presented as a causal mechanism.,"Separate correlation from causality, add targeted controls, validate proposed pathways, and discuss plausible alternatives.",major,249,39,Apply only when the manuscript claim actually depends on this evidence chain.,true
MS-PAT-0090,stability_durability_and_operando_relevance,soft_polymers_and_bioelectronic_materials,stability_or_long_term_utility_claim,"For soft devices and self-healing polymers, require operational cycling after damage/healing rather than standalone healing demonstrations.","Reviewers request long-term tests, environmental stressors, cycling, degradation analysis, and post-test characterization.","Short-term or ideal-condition tests may not support claims of durability, stability, cycling, or operational robustness.","Add durability protocols, stress conditions, failure analysis, before/after characterization, and realistic use-condition tests.",major,149,21,Apply only when the manuscript claim actually depends on this evidence chain.,true
MS-PAT-0091,control_materials_and_benchmarking,energy_and_electrochemical_materials,superiority_or_comparison_claim,"For energy materials, require matched controls and realistic operating conditions before claiming performance advantage.","Reviewers ask for state-of-the-art controls, commercial comparators, or identical testing conditions.","The comparison set may be incomplete, unfair, outdated, or not measured under equivalent conditions.","Benchmark against closest materials and devices using matched protocols, transparent baselines, and literature context.",major,142,33,Apply only when the manuscript claim actually depends on this evidence chain.,true
MS-PAT-0092,synthesis_route_and_reproducibility,manufacturing_processing_and_device_integration,synthesis_or_processing_claim,"For processing or manufacturing claims, require process-window evidence, reproducibility across samples, and failure/yield information.","Reviewers ask for complete synthesis details, batch-to-batch consistency, process windows, yields, and failure cases.",The target material may not be reproducibly accessible from the described route or processing window.,"Add full protocols, key parameters, replicate batches, yield/throughput information, and limits of the synthesis route.",major,278,39,Apply only when the manuscript claim actually depends on this evidence chain.,true
MS-PAT-0093,statistical_inference_uncertainty_and_replicates,cross_materials_science,quantitative_difference_or_generalization_claim,"For microscopy, devices, and property tests, ask whether reported examples are representative and supported by independent repeats.","Reviewers request replicate counts, error bars, significance tests, variance, and sample representativeness.","Quantitative differences may be based on too few replicates, unclear statistics, or unreported uncertainty.","Report n, independent repeats, uncertainty intervals, statistical tests, and criteria for excluding measurements.",major,39,17,Apply only when the manuscript claim actually depends on this evidence chain.,true
MS-PAT-0094,data_code_materials_and_reporting_completeness,cross_materials_science,reproducibility_or_reporting_claim,"For complex materials studies, require source data, raw/processed characterization, code or model settings, and unambiguous units.","Reviewers flag missing methodological details, inconsistent figure labels, inaccessible data/code, or ambiguous definitions.","Methods, figures, data, units, source data, code, or materials availability are insufficient for verification or reuse.","Complete methods, units, captions, data/code availability, materials provenance, and figure-level consistency checks.",minor_to_major,395,39,Apply only when the manuscript claim actually depends on this evidence chain.,true
MS-PAT-0095,reader_logic_and_figure_narrative,cross_materials_science,presentation_or_cross_field_accessibility_claim,"For multi-technique studies, ask authors to make the evidence chain visible: material identity, structure, property, mechanism, and application boundary.","Reviewers ask for clearer definitions, schematic logic, figure sequencing, and separation of major and minor claims.",A complex materials story may be hard to follow or may ask readers to infer the evidence chain from scattered figures.,"Clarify the central claim, define terms early, align figures with claims, and move secondary details to supplement if needed.",minor_to_major,707,42,Apply only when the manuscript claim actually depends on this evidence chain.,true
