pattern_id,domain,gate,title,concern,evidence_risk,revision_direction,severity,triggers,source_fields
POLAR-ATTR-001,polar-earth-system-orchestrator,attribution_coupling_nonstationarity,Correlation is promoted to mechanism,"Covariation between sea ice, circulation, ocean heat, ecology, or greenhouse-gas flux is described as a causal process without discriminating evidence.","Common forcing, autocorrelation, or feedback can produce the same association.","Specify causal alternatives, use temporal or intervention-like evidence where possible, and calibrate language to association unless alternatives are excluded.",major,correlation; drives; controls; mechanism; feedback,"{""claim_type"": ""causal inference"", ""region"": [""bipolar""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-004"", ""NP-006"", ""NP-019""], ""verbatim_review_text"": false}"
POLAR-ATTR-002,polar-earth-system-orchestrator,attribution_coupling_nonstationarity,Internal variability is underrepresented,"A short trend or extreme event is attributed to external forcing without estimating variability from observations, large ensembles, or physically appropriate null models.",Polar variability is large and serially correlated.,"Quantify the expected distribution under internal variability, test sensitivity to trend window, and express attribution probabilistically.",major,attribution; internal variability; trend; extreme,"{""claim_type"": ""climate attribution"", ""region"": [""bipolar""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-003"", ""NP-007"", ""NP-014""], ""verbatim_review_text"": false}"
POLAR-ATTR-003,polar-earth-system-orchestrator,attribution_coupling_nonstationarity,Feedback direction is not identified,Coupled variables are interpreted as a one-way driver-response relation although reciprocal feedbacks are plausible.,The sign and timing of a feedback cannot be inferred from contemporaneous correlation.,"Use lagged/process evidence, perturbation experiments, or budget analysis to distinguish direction; otherwise present a coupled association.",major,feedback; coupling; lag; sea ice-ocean-atmosphere,"{""claim_type"": ""coupled-system mechanism"", ""region"": [""bipolar""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-004"", ""NP-006"", ""NP-019""], ""verbatim_review_text"": false}"
POLAR-ATTR-004,polar-earth-system-orchestrator,attribution_coupling_nonstationarity,Teleconnection pathway is incomplete,A remote climate mode is linked to a polar response without closing the dynamical pathway or testing competing modes and seasonality.,Shared trends and mode covariance can produce unstable attribution.,"Demonstrate the circulation pathway, test multivariate and detrended alternatives, and evaluate stability across periods or models.",major,teleconnection; oscillation; circulation; Arctic response,"{""claim_type"": ""dynamical attribution"", ""region"": [""arctic""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-007"", ""NP-003""], ""verbatim_review_text"": false}"
POLAR-ATTR-005,polar-earth-system-orchestrator,attribution_coupling_nonstationarity,Historical relationship assumed stationary,"An empirical climate, ecological, or proxy relationship is extrapolated into a regime with changing ice cover, stratification, species composition, or atmospheric moisture.",The predictor-response relation may change as the system reorganizes.,"Test time-varying parameters or regime interactions, diagnose extrapolation, and restrict forecasts to supported conditions.",major,nonstationary; future projection; empirical relationship,"{""claim_type"": ""nonstationarity"", ""region"": [""bipolar""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-005"", ""NP-006"", ""NP-020""], ""verbatim_review_text"": false}"
POLAR-ATTR-006,polar-earth-system-orchestrator,attribution_coupling_nonstationarity,Process timing is inconsistent with causation,The proposed driver does not precede the response at a physically plausible lag or the analysis averages away the relevant sequence.,Causal interpretation requires temporal ordering and compatible response times.,"Analyze event chronology and lags, compare alternative pathways, and revise the mechanism if timing is inconsistent.",major,lag; timing; immediate response; seasonal sequence,"{""claim_type"": ""temporal causality"", ""region"": [""bipolar""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-002"", ""NP-010"", ""NP-012""], ""verbatim_review_text"": false}"
POLAR-ATTR-007,polar-earth-system-orchestrator,attribution_coupling_nonstationarity,Counterfactual is not defined,"Terms such as anthropogenic contribution, policy benefit, tipping avoidance, or avoided warming are used without an explicit counterfactual experiment.",Attribution and intervention claims depend on what would have occurred otherwise.,"Define the counterfactual, justify forcing differences, quantify uncertainty, and separate scenario comparison from formal attribution.",major,counterfactual; policy; anthropogenic; avoided warming,"{""claim_type"": ""counterfactual attribution"", ""region"": [""bipolar""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-003"", ""NP-008"", ""NP-020""], ""verbatim_review_text"": false}"
POLAR-ATTR-008,polar-earth-system-orchestrator,attribution_coupling_nonstationarity,Mechanism depends on one diagnostic,"A broad process conclusion rests on a single index, composite, regression coefficient, or model diagnostic.",A diagnostic may be consistent with multiple mechanisms and sensitive to definition.,"Add convergent process evidence, test alternative diagnostics, and state which mechanism components remain inferred.",major,index; composite; regression; diagnostic,"{""claim_type"": ""mechanism evidence"", ""region"": [""bipolar""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-006"", ""NP-007"", ""NP-017""], ""verbatim_review_text"": false}"
POLAR-UNCE-001,polar-earth-system-orchestrator,uncertainty_statistics_validation,Serial and spatial dependence ignored,"Significance tests treat polar time series, pixels, stations, or model cells as independent.",Autocorrelation and spatial covariance inflate effective sample size and apparent certainty.,"Use dependence-aware uncertainty, report effective sample size, and test robustness across correlation models.",major,p value; pixels; time series; spatial autocorrelation,"{""claim_type"": ""statistical inference"", ""region"": [""bipolar""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-014"", ""NP-016"", ""NP-021""], ""verbatim_review_text"": false}"
POLAR-UNCE-002,polar-earth-system-orchestrator,uncertainty_statistics_validation,Uncertainty is not propagated to headline result,"Input, calibration, retrieval, age-model, density, forcing, or parameter uncertainties are listed but not propagated to the final trend, budget, or projection.",The headline confidence can be much narrower than the evidence supports.,"Propagate all material uncertainty sources, including covariance, and report their contribution to the final interval.",major,uncertainty propagation; error budget; confidence interval,"{""claim_type"": ""uncertainty analysis"", ""region"": [""bipolar""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-001"", ""NP-009"", ""NP-018"", ""STD-004""], ""verbatim_review_text"": false}"
POLAR-UNCE-003,polar-earth-system-orchestrator,uncertainty_statistics_validation,Sensitivity tests do not span plausible choices,"Robustness is claimed from a narrow set of thresholds, windows, products, priors, or model parameters selected near the preferred analysis.",A local perturbation does not test structural uncertainty.,"Predefine a plausible sensitivity space, include alternative products and methods, and show which conclusions survive.",major,sensitivity; threshold; window; parameter choice,"{""claim_type"": ""robustness analysis"", ""region"": [""bipolar""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-005"", ""NP-014"", ""TC-001""], ""verbatim_review_text"": false}"
POLAR-UNCE-004,polar-earth-system-orchestrator,uncertainty_statistics_validation,Multiple comparisons are unaccounted,"Large spatial, temporal, taxonomic, or parameter searches report selected significant patterns without multiplicity or selection correction.",False discoveries are likely and effect sizes may be inflated.,"Control the false-discovery process or use hierarchical models, report the search space, and validate selected patterns independently.",major,many pixels; many species; field significance; screening,"{""claim_type"": ""multiple testing"", ""region"": [""bipolar""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-006"", ""NP-013"", ""NP-016""], ""verbatim_review_text"": false}"
POLAR-UNCE-005,polar-earth-system-orchestrator,uncertainty_statistics_validation,Rare-event probability is overprecise,"The date or probability of an ice-free day, tipping event, extreme melt, or circulation threshold is estimated from too few effective samples.","Tail probabilities are highly sensitive to model dependence, threshold definition, and distributional assumptions.","Report interval and threshold sensitivity, effective sample size, and conditional probability wording rather than a precise deterministic date.",major,first event; return period; tipping probability; before 2030,"{""claim_type"": ""rare-event statistics"", ""region"": [""bipolar""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-005"", ""NP-008"", ""NP-020""], ""verbatim_review_text"": false}"
POLAR-UNCE-006,polar-earth-system-orchestrator,uncertainty_statistics_validation,Cross-validation leaks space or time,"Random splits place neighboring pixels, repeated sites, adjacent years, or derived samples in both train and test sets.",The evaluation measures interpolation rather than geographic or temporal transfer.,"Use blocked spatial and temporal validation, hold out entire sites or regions, and report out-of-domain performance.",major,random split; machine learning; cross-validation; spatial leakage,"{""claim_type"": ""predictive validation"", ""region"": [""bipolar""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-013"", ""NP-016"", ""NP-020""], ""verbatim_review_text"": false}"
POLAR-UNCE-007,polar-earth-system-orchestrator,uncertainty_statistics_validation,Baseline comparison is weak or mismatched,"A new method or model is compared with an outdated, differently forced, differently resolved, or insufficiently tuned baseline.",Apparent improvement may result from unequal information or setup.,"Use strong matched baselines, harmonize inputs and evaluation domains, and report uncertainty in performance differences.",major,benchmark; baseline; model comparison; skill,"{""claim_type"": ""comparative evaluation"", ""region"": [""bipolar""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-005"", ""NP-013"", ""TC-001""], ""verbatim_review_text"": false}"
POLAR-UNCE-008,polar-earth-system-orchestrator,uncertainty_statistics_validation,Confidence language exceeds validation domain,"The manuscript claims robustness, ubiquity, prediction, or early warning despite narrow data, one event, or an in-sample fit.",Statistical confidence within the sampled domain does not establish external validity.,Separate in-domain precision from transfer uncertainty and align language with the actual validation design.,major,robust; pervasive; predicts; early warning,"{""claim_type"": ""claim calibration"", ""region"": [""bipolar""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-008"", ""NP-013"", ""NP-016""], ""verbatim_review_text"": false}"
POLAR-ICE_-001,polar-earth-system-orchestrator,ice_sheet_glacier_dynamics,Grounding-line location uncertainty omitted,"Grounding-line migration or retreat is central, but the mapping method, tidal state, hydrostatic assumption, and positional uncertainty are not quantified.",Small positional errors can alter inferred retreat rate and process attribution.,"Describe the detection method, provide uncertainty and tidal sensitivity, and compare independent observations where available.",major,grounding line; migration; retreat; tidal flexure,"{""claim_type"": ""ice dynamics"", ""region"": [""antarctic"", ""greenland""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-010"", ""NP-011""], ""verbatim_review_text"": false}"
POLAR-ICE_-002,polar-earth-system-orchestrator,ice_sheet_glacier_dynamics,Calving attribution ignores geometry and stress history,"A calving event is attributed to climate forcing without considering rift history, pinning points, mélange, geometry, and preconditioning.",Calving can be a delayed geometric instability rather than an immediate climate response.,"Reconstruct stress and geometry evolution, test alternative triggers, and distinguish event timing from long-term forcing.",major,calving; rift; ice shelf; geometry,"{""claim_type"": ""calving mechanism"", ""region"": [""antarctic"", ""arctic""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-012"", ""TC-003""], ""verbatim_review_text"": false}"
POLAR-ICE_-003,polar-earth-system-orchestrator,ice_sheet_glacier_dynamics,Ocean-temperature metric is not dynamically relevant,"Offshore, depth-averaged, or sparse temperature is used as the forcing for glacier or ice-shelf melt without demonstrating access to the ice interface.","Circulation, bathymetry, stratification, and mixing control heat delivery.","Use cavity or fjord-relevant thermal forcing, demonstrate pathways, and quantify lag and transport uncertainty.",major,ocean warming; thermal forcing; cavity; fjord,"{""claim_type"": ""ocean-ice forcing"", ""region"": [""antarctic"", ""greenland"", ""arctic""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-009"", ""NP-012"", ""NP-018""], ""verbatim_review_text"": false}"
POLAR-ICE_-004,polar-earth-system-orchestrator,ice_sheet_glacier_dynamics,Bed or bathymetry uncertainty is underexplored,"Conclusions about stability, retreat, or melt depend on poorly resolved bed or seafloor geometry.","Geometry uncertainty can change circulation, grounding-line stability, and stress transmission.",Propagate alternative bed/bathymetry realizations and identify conclusions that remain robust.,major,bed topography; bathymetry; seafloor roughness; stability,"{""claim_type"": ""geometry uncertainty"", ""region"": [""antarctic"", ""greenland""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-009"", ""NP-010"", ""TC-008""], ""verbatim_review_text"": false}"
POLAR-ICE_-005,polar-earth-system-orchestrator,ice_sheet_glacier_dynamics,Dynamic and climatic mass loss are not separated,"Observed retreat or thinning is attributed to atmospheric or oceanic forcing without separating dynamic adjustment, calving, surface balance, and basal melt.",Different mechanisms imply different persistence and projections.,Partition components using independent observations or models and calibrate attribution to what can be resolved.,major,dynamic thinning; surface balance; basal melt; calving,"{""claim_type"": ""mass-loss attribution"", ""region"": [""bipolar""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-010"", ""NP-012"", ""NP-018""], ""verbatim_review_text"": false}"
POLAR-ICE_-006,polar-earth-system-orchestrator,ice_sheet_glacier_dynamics,Ice-shelf buttressing claim lacks stress evidence,Loss or thinning of floating ice is assumed to increase grounded-ice discharge without quantifying buttressing or stress transfer.,Not all floating ice exerts the same dynamic control.,Calculate buttressing or stress sensitivity and identify the grounded catchments dynamically connected to the change.,major,buttressing; ice shelf loss; grounded discharge,"{""claim_type"": ""dynamic coupling"", ""region"": [""antarctic"", ""greenland""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-009"", ""NP-010"", ""TC-003""], ""verbatim_review_text"": false}"
POLAR-ICE_-007,polar-earth-system-orchestrator,ice_sheet_glacier_dynamics,Glacier inventory changes through time,"Trend analysis mixes glacier outlines, merges/splits, surge states, or inclusion criteria across epochs.",Inventory inconsistency can generate artificial area and retreat trends.,"Use a stable inventory or document lineage, treat surge-type glaciers separately, and quantify mapping uncertainty.",major,glacier inventory; outline; surge; retreat trend,"{""claim_type"": ""glacier mapping"", ""region"": [""arctic"", ""mountain""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-016"", ""NP-012""], ""verbatim_review_text"": false}"
POLAR-ICE_-008,polar-earth-system-orchestrator,ice_sheet_glacier_dynamics,Tipping language lacks state-space evidence,"Abrupt past or modeled change is labeled a tipping point without demonstrating multiple states, hysteresis, threshold behavior, or self-sustaining change.",Rapid response alone is not evidence of tipping dynamics.,"Define the tipping criterion, test hysteresis or recovery, and use calibrated language if only abrupt change is established.",major,tipping point; threshold; hysteresis; irreversible,"{""claim_type"": ""stability claim"", ""region"": [""antarctic"", ""greenland""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-008"", ""NP-010""], ""verbatim_review_text"": false}"
POLAR-SEA_-001,polar-earth-system-orchestrator,sea_ice_ocean_atmosphere,Ice-free threshold is not explicit,"An ice-free Arctic, ice-free day, or seasonal loss is discussed without a concentration, extent, area, region, or duration threshold.",Event timing and probability depend strongly on the operational definition.,Define the metric and threshold before analysis and report sensitivity to accepted alternatives.,major,ice-free; threshold; first day; September minimum,"{""claim_type"": ""sea-ice event"", ""region"": [""arctic""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-005"", ""TC-002""], ""verbatim_review_text"": false}"
POLAR-SEA_-002,polar-earth-system-orchestrator,sea_ice_ocean_atmosphere,Wind stress transfer ignores ice mechanics,"Surface stress or ocean spin-up is linked to sea-ice loss without resolving internal ice stress, concentration, thickness, drag, and seasonal regime.",The same wind can transfer different momentum depending on ice state and rheology.,Diagnose the full momentum budget and test sensitivity to drag and rheology choices.,major,wind stress; ice weakening; ocean spin-up; drag,"{""claim_type"": ""momentum coupling"", ""region"": [""arctic""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-004""], ""verbatim_review_text"": false}"
POLAR-SEA_-003,polar-earth-system-orchestrator,sea_ice_ocean_atmosphere,Sea-ice effect on stratification lacks competing freshwater controls,"Winter stratification or carbon uptake is attributed to sea ice without separating brine rejection, meltwater, river input, precipitation, mixing, and advection.",Several freshwater and mixing pathways can create the same stratification signal.,Close the salinity and mixing budget and test whether the sea-ice pathway is uniquely supported.,major,stratification; brine; freshwater; carbon uptake,"{""claim_type"": ""ocean stratification"", ""region"": [""bipolar""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-019"", ""NP-004""], ""verbatim_review_text"": false}"
POLAR-SEA_-004,polar-earth-system-orchestrator,sea_ice_ocean_atmosphere,Biological-pump response is inferred from proxies alone,"Export or carbon sequestration is inferred from production, community composition, sediment traps, or model diagnostics without closing remineralization and export pathways.",Higher production does not necessarily increase long-term export.,"Measure or constrain export efficiency, remineralization, depth horizon, and seasonal integration; narrow the claim if only production changes are shown.",major,biological pump; export; productivity; carbon sequestration,"{""claim_type"": ""biogeochemistry"", ""region"": [""arctic"", ""southern_ocean""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-006"", ""NP-019""], ""verbatim_review_text"": false}"
POLAR-SEA_-005,polar-earth-system-orchestrator,sea_ice_ocean_atmosphere,Marginal ice zone migration confounds trend,Ecological or oceanographic differences are attributed to ice decline although sampling follows a moving ice edge or habitat boundary.,The comparison may substitute different water masses or habitats rather than track change at fixed conditions.,"Use a coordinate system relative to both geography and ice edge, and separate habitat relocation from temporal change.",major,marginal ice zone; ice edge; transect; habitat shift,"{""claim_type"": ""moving boundary"", ""region"": [""bipolar""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-006"", ""NP-013""], ""verbatim_review_text"": false}"
POLAR-SEA_-006,polar-earth-system-orchestrator,sea_ice_ocean_atmosphere,Atmospheric-river detection is algorithm-dependent,Future atmospheric-river frequency or impact is assessed with one detection threshold or tracking algorithm in a changing moisture climate.,Fixed thresholds can convert thermodynamic moistening into artificial frequency change.,"Compare absolute and relative thresholds, multiple algorithms, and impact-based diagnostics; report algorithm dependence.",major,atmospheric river; detection threshold; Antarctica,"{""claim_type"": ""event detection"", ""region"": [""antarctic""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-020""], ""verbatim_review_text"": false}"
POLAR-SEA_-007,polar-earth-system-orchestrator,sea_ice_ocean_atmosphere,Sea-ice state change inferred without process consistency,"A new state or regime is declared from low extent alone without consistent evidence in thickness, seasonality, circulation, persistence, or restoring behavior.",One metric may reflect an extreme realization rather than system reorganization.,"Define the state vector, test persistence and multivariate consistency, and compare with internal-variability ensembles.",major,new sea ice state; regime shift; record low,"{""claim_type"": ""regime change"", ""region"": [""antarctic"", ""arctic""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-014"", ""NP-005""], ""verbatim_review_text"": false}"
POLAR-SEA_-008,polar-earth-system-orchestrator,sea_ice_ocean_atmosphere,Ocean circulation proxy is non-unique,"Sediment, grain-size, geochemical, or water-mass proxies are interpreted as current strength without excluding source, productivity, preservation, or frontal-position effects.",Multiple processes can alter the proxy independently of transport.,"Use a multi-proxy calibration and model/modern constraints, and distinguish current strength from related water-mass changes.",major,ACC strength; circulation proxy; sediment; water mass,"{""claim_type"": ""paleo-oceanography"", ""region"": [""southern_ocean""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-017"", ""NP-023""], ""verbatim_review_text"": false}"
POLAR-PERM-001,polar-earth-system-orchestrator,permafrost_ecology_biogeochemistry,Ground-temperature trend is generalized to degradation,"A temperature increase at boreholes is described as widespread thaw, ground-ice loss, or landscape collapse without corresponding state observations.","Thermal response and physical degradation differ by depth, ice content, hydrology, and substrate.","Report depth-specific temperatures and add active-layer, deformation, or ground-ice evidence before claiming degradation.",major,ground temperature; thaw; degradation; borehole,"{""claim_type"": ""permafrost change"", ""region"": [""arctic"", ""mountain""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-021"", ""NP-022""], ""verbatim_review_text"": false}"
POLAR-PERM-002,polar-earth-system-orchestrator,permafrost_ecology_biogeochemistry,Model permafrost process is not benchmarked,"A land model produces permafrost extent or carbon feedback without testing snow insulation, soil physics, organic layers, hydrology, and excess ice.",Compensating errors can match temperature while misrepresenting process and future response.,"Benchmark process diagnostics against observations and perturb structural choices, not only bulk extent.",major,CMIP6; land model; soil physics; permafrost,"{""claim_type"": ""permafrost model"", ""region"": [""arctic""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""TC-001"", ""NP-022""], ""verbatim_review_text"": false}"
POLAR-PERM-003,polar-earth-system-orchestrator,permafrost_ecology_biogeochemistry,Carbon release is inferred from thaw extent,Projected thaw area or active-layer deepening is translated directly into carbon or methane emissions.,"Emission depends on substrate, hydrology, redox state, microbial processing, transport, and oxidation.","Use process-resolving carbon evidence, separate potential stock from realized flux, and report pathway uncertainty.",major,permafrost carbon; methane; thaw extent; active layer,"{""claim_type"": ""carbon feedback"", ""region"": [""arctic""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""TC-001"", ""NP-024""], ""verbatim_review_text"": false}"
POLAR-PERM-004,polar-earth-system-orchestrator,permafrost_ecology_biogeochemistry,Microbiome model extrapolates beyond sampled systems,"A predictive ecological model trained on accessible glacier-fed streams is applied globally without covering climate, geology, hydrology, and biogeographic domains.",Out-of-domain ecological prediction can be confidently wrong.,"Map environmental coverage, use leave-region-out validation, quantify extrapolation, and limit global claims to supported domains.",major,global microbiome; glacier-fed stream; prediction,"{""claim_type"": ""ecological prediction"", ""region"": [""bipolar"", ""mountain""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-013""], ""verbatim_review_text"": false}"
POLAR-PERM-005,polar-earth-system-orchestrator,permafrost_ecology_biogeochemistry,Community composition is equated with ecosystem function,"Taxonomic or gene-marker shifts are interpreted as changes in productivity, export, greenhouse-gas cycling, or resilience without functional measurement.",Composition does not uniquely determine realized process rates.,"Add rate or functional assays, triangulate with biogeochemistry, and calibrate functional language.",major,community composition; function; microbiome; productivity,"{""claim_type"": ""ecological mechanism"", ""region"": [""bipolar""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-006"", ""NP-013"", ""NP-024""], ""verbatim_review_text"": false}"
POLAR-PERM-006,polar-earth-system-orchestrator,permafrost_ecology_biogeochemistry,Freshwater methane filter lacks system boundary,"Oxidation or filtering efficiency is interpreted as a fixed ecosystem property without testing residence time, stratification, oxygen, transport, and seasonality.",A high local oxidation fraction may not predict net annual emission under changing hydrology.,"Define the control volume and period, quantify gross production, oxidation, storage, and evasion, and test warming-induced transport changes.",major,methane filter; oxidation; freshwater emission; warming,"{""claim_type"": ""methane budget"", ""region"": [""arctic"", ""boreal""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-024""], ""verbatim_review_text"": false}"
POLAR-PERM-007,polar-earth-system-orchestrator,permafrost_ecology_biogeochemistry,Ice-loss effect confounded by co-varying drivers,"Ecological change attributed to sea-ice or glacier loss is not separated from temperature, nutrients, light, freshwater, turbidity, habitat, and circulation.",Co-varying climate drivers can produce a spurious single-driver narrative.,"Use experiments, natural gradients, mediation, or process models to discriminate drivers and report unresolved confounding.",major,sea ice loss; glacier retreat; ecosystem response,"{""claim_type"": ""ecological attribution"", ""region"": [""bipolar""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-006"", ""NP-013""], ""verbatim_review_text"": false}"
POLAR-PERM-008,polar-earth-system-orchestrator,permafrost_ecology_biogeochemistry,Ecological baseline is shifting or incomplete,"A short modern baseline is treated as undisturbed or representative despite rapid warming, harvest, pollution, or earlier cryosphere change.",Effect size and novelty depend on the reference state.,"Justify the baseline with historical, paleo, or long-term data and show sensitivity to alternative reference periods.",major,baseline; pristine; historical state; rapid change,"{""claim_type"": ""baseline selection"", ""region"": [""bipolar""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-006"", ""NP-013"", ""NP-024""], ""verbatim_review_text"": false}"
POLAR-PALE-001,polar-earth-system-orchestrator,paleoclimate_proxy_chronology,Age uncertainty is omitted from phase relation,"Lead-lag, synchrony, abruptness, or event duration is interpreted without propagating age-model uncertainty and correlation between dated levels.",Chronological uncertainty may be larger than the claimed lag.,"Use age ensembles, propagate correlated age uncertainty, and report whether phase conclusions survive.",major,age model; lead lag; synchronization; chronology,"{""claim_type"": ""chronological inference"", ""region"": [""bipolar""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-015"", ""NP-017"", ""NP-023"", ""TC-004""], ""verbatim_review_text"": false}"
POLAR-PALE-002,polar-earth-system-orchestrator,paleoclimate_proxy_chronology,Proxy calibration is outside its environmental range,"A modern calibration is applied to glacial, interglacial, or polar conditions with different ecology, chemistry, seasonality, or preservation.",The transfer function may not be stable outside the calibration domain.,"Show calibration coverage, test nonstationarity and alternative proxies, and report extrapolation uncertainty.",major,transfer function; calibration range; proxy; glacial,"{""claim_type"": ""proxy calibration"", ""region"": [""bipolar""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-001"", ""NP-015"", ""NP-023""], ""verbatim_review_text"": false}"
POLAR-PALE-003,polar-earth-system-orchestrator,paleoclimate_proxy_chronology,Post-depositional alteration is underconstrained,"Ice-core isotope, aerosol, gas, snow, or sediment signals are interpreted as direct climate records without quantifying diffusion, wind redistribution, melt, bioturbation, or chemical alteration.","Archive formation can filter, shift, or erase the environmental signal.",Model or measure post-depositional processes and state the temporal and amplitude resolution retained by the archive.,major,post-depositional; diffusion; wind redistribution; isotope,"{""claim_type"": ""archive process"", ""region"": [""antarctic"", ""arctic""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""TC-009"", ""NP-001""], ""verbatim_review_text"": false}"
POLAR-PALE-004,polar-earth-system-orchestrator,paleoclimate_proxy_chronology,Sampling resolution cannot resolve claimed event,"The archive sampling interval, smoothing, sedimentation, diffusion, or dating precision is too coarse for the event duration being inferred.","An unresolved event cannot be used to establish absence, timing, or abruptness.","Quantify the effective resolution, use forward-model tests, and narrow event-scale claims.",major,sampling resolution; abrupt event; ice core; sediment core,"{""claim_type"": ""temporal resolution"", ""region"": [""bipolar""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-015"", ""NP-023"", ""TC-004""], ""verbatim_review_text"": false}"
POLAR-PALE-005,polar-earth-system-orchestrator,paleoclimate_proxy_chronology,Single proxy is assigned a unique mechanism,"One geochemical, isotopic, sedimentological, or biological proxy is interpreted as a unique temperature, storm, circulation, or ice-cover signal.",Most proxies have multiple environmental and depositional controls.,Use independent proxies and process calibration to discriminate controls; present residual ambiguity explicitly.,major,single proxy; temperature; storminess; circulation,"{""claim_type"": ""multi-proxy inference"", ""region"": [""bipolar""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-001"", ""NP-015"", ""NP-017"", ""NP-023""], ""verbatim_review_text"": false}"
POLAR-PALE-006,polar-earth-system-orchestrator,paleoclimate_proxy_chronology,Core synchronization is circular,Records are aligned using the same climatic feature whose simultaneity or propagation is then claimed.,Tuning can manufacture apparent synchrony and suppress age uncertainty.,Use independent tie points where possible and repeat the analysis across untuned age ensembles.,major,synchronization; tuning; tie point; simultaneous,"{""claim_type"": ""record alignment"", ""region"": [""antarctic"", ""arctic""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""TC-004"", ""NP-023""], ""verbatim_review_text"": false}"
POLAR-PALE-007,polar-earth-system-orchestrator,paleoclimate_proxy_chronology,Past threshold is transferred directly to future,"A paleoclimate transition is used as a quantitative future threshold without accounting for different forcing rates, geometry, boundary conditions, and initial states.",Analogues constrain possibilities but may not predict a modern threshold.,Separate qualitative analogue evidence from quantitative projection and test transfer with process models.,major,past analogue; future tipping; Last Interglacial,"{""claim_type"": ""paleo-future transfer"", ""region"": [""antarctic"", ""greenland""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-008"", ""NP-017""], ""verbatim_review_text"": false}"
POLAR-PALE-008,polar-earth-system-orchestrator,paleoclimate_proxy_chronology,Source area and transport change over time,"A sediment or aerosol proxy assumes a fixed source although fronts, winds, currents, erosion, and catchment routing may shift.",Changing provenance can mimic changes in the target climate variable.,"Use provenance tracers, transport modeling, and sensitivity to source-area change.",major,provenance; sediment source; transport; proxy,"{""claim_type"": ""source attribution"", ""region"": [""bipolar""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-015"", ""NP-023""], ""verbatim_review_text"": false}"
