pattern_id,gate_id,gate_name,pattern_type,severity_default,reviewer_concern,common_triggers,common_issue_labels,subfield_signals,evidence_expected,claim_language_risk,source_unit_count,source_article_count,source_journals,source_doi_examples,copyright_note
CECO-P0030,climate_trend_attribution_gate,Climate trend and attribution gate,issue_cluster,major,"For Climate trend and attribution gate, reviewers repeatedly flag sampling/representativeness when the manuscript's evidence chain does not make this point explicit enough for a broad high-impact-journal audience.",temperature; extreme; warming; climate change; precipitation; trend; correlation; scenario; attribution; drought,sampling/representativeness,climate; warming; carbon; species; forest; ecosystem; biodiversity; soil,baseline definition; temporal consistency; driver separation; sensitivity to aggregation; uncertainty propagation; conservative attribution wording,overstating climate causality from observational trends or short baselines,90,23,Nature:76; Nature Communications:10; Nature Ecology & Evolution:4,10.1038/s41467-025-63246-z; 10.1038/s41467-025-67676-7; 10.1038/s41559-025-02664-0; 10.1038/s41559-025-02746-z; 10.1038/s41559-025-02911-4; 10.1038/s41559-025-02966-3; 10.1038/s41586-024-07264-9; 10.1038/s41586-024-07274-7,"Issue cluster distilled from reviewer-comment metadata and signal terms, not from copied prose."
CECO-P0031,climate_trend_attribution_gate,Climate trend and attribution gate,issue_cluster,should_fix,"For Climate trend and attribution gate, reviewers repeatedly flag figure/table clarity when the manuscript's evidence chain does not make this point explicit enough for a broad high-impact-journal audience.",temperature; extreme; warming; climate change; precipitation; trend; correlation; scenario; attribution; drought,figure/table clarity,climate; warming; carbon; species; forest; ecosystem; biodiversity; soil,baseline definition; temporal consistency; driver separation; sensitivity to aggregation; uncertainty propagation; conservative attribution wording,overstating climate causality from observational trends or short baselines,63,25,Nature:57; Nature Communications:5; Nature Ecology & Evolution:1,10.1038/s41467-024-46282-z; 10.1038/s41467-024-52993-0; 10.1038/s41467-025-63246-z; 10.1038/s41467-025-63428-9; 10.1038/s41559-025-02664-0; 10.1038/s41586-024-07264-9; 10.1038/s41586-024-07629-0; 10.1038/s41586-024-07714-4,"Issue cluster distilled from reviewer-comment metadata and signal terms, not from copied prose."
CECO-P0032,climate_trend_attribution_gate,Climate trend and attribution gate,issue_cluster,major,"For Climate trend and attribution gate, reviewers repeatedly flag uncertainty when the manuscript's evidence chain does not make this point explicit enough for a broad high-impact-journal audience.",temperature; extreme; warming; climate change; precipitation; trend; correlation; scenario; attribution; drought,uncertainty,climate; warming; carbon; species; forest; ecosystem; biodiversity; soil,baseline definition; temporal consistency; driver separation; sensitivity to aggregation; uncertainty propagation; conservative attribution wording,overstating climate causality from observational trends or short baselines,51,21,Nature:48; Nature Communications:2; Nature Ecology & Evolution:1,10.1038/s41467-024-46282-z; 10.1038/s41467-024-48640-3; 10.1038/s41559-025-02664-0; 10.1038/s41586-024-07264-9; 10.1038/s41586-024-07274-7; 10.1038/s41586-024-08185-3; 10.1038/s41586-024-08576-6; 10.1038/s41586-025-08665-0,"Issue cluster distilled from reviewer-comment metadata and signal terms, not from copied prose."
CECO-P0033,forest_land_use_conservation_gate,"Forest, land-use and conservation gate",abstracted_reviewer_concern,major,"Forest and land-use conclusions require clear definitions of degradation, restoration, regeneration, certification, protection, and reference systems.",forest; tropical; conservation; deforestation; fsc; biodiversity; management; degraded; land use; protected; regeneration; restoration,forest/land/use/conservation; policy implication; sampling/representativeness; causal overclaim; figure/table clarity; novelty/significance,forest; biodiversity; climate; conservation; species; warming; ecosystem; carbon; soil; restoration,clear forest/land-use definitions; site-selection logic; independent validation; land-use history; management-confounder analysis,generalizing site-specific land-use or conservation findings globally,580,38,Nature:523; Nature Communications:34; Nature Ecology & Evolution:23,10.1038/s41467-024-46282-z; 10.1038/s41467-024-52993-0; 10.1038/s41467-024-54304-z; 10.1038/s41467-025-63246-z; 10.1038/s41467-025-65751-7; 10.1038/s41467-025-67125-5; 10.1038/s41467-025-67676-7; 10.1038/s41559-025-02664-0,Abstracted pattern generated from reviewer-comment signals; no raw reviewer text stored.
CECO-P0034,forest_land_use_conservation_gate,"Forest, land-use and conservation gate",abstracted_reviewer_concern,major,"Conservation or management claims should show that comparisons are not confounded by site selection, accessibility, governance, baseline forest condition, or land-use history.",forest; tropical; conservation; deforestation; fsc; biodiversity; management; degraded; land use; protected; regeneration; restoration,forest/land/use/conservation; policy implication; sampling/representativeness; causal overclaim; figure/table clarity; novelty/significance,forest; biodiversity; climate; conservation; species; warming; ecosystem; carbon; soil; restoration,clear forest/land-use definitions; site-selection logic; independent validation; land-use history; management-confounder analysis,generalizing site-specific land-use or conservation findings globally,580,38,Nature:523; Nature Communications:34; Nature Ecology & Evolution:23,10.1038/s41467-024-46282-z; 10.1038/s41467-024-52993-0; 10.1038/s41467-024-54304-z; 10.1038/s41467-025-63246-z; 10.1038/s41467-025-65751-7; 10.1038/s41467-025-67125-5; 10.1038/s41467-025-67676-7; 10.1038/s41559-025-02664-0,Abstracted pattern generated from reviewer-comment signals; no raw reviewer text stored.
CECO-P0035,forest_land_use_conservation_gate,"Forest, land-use and conservation gate",abstracted_reviewer_concern,major,Remote or field-based forest change estimates need validation against independent observations and uncertainty around classification or boundary choices.,forest; tropical; conservation; deforestation; fsc; biodiversity; management; degraded; land use; protected; regeneration; restoration,forest/land/use/conservation; policy implication; sampling/representativeness; causal overclaim; figure/table clarity; novelty/significance,forest; biodiversity; climate; conservation; species; warming; ecosystem; carbon; soil; restoration,clear forest/land-use definitions; site-selection logic; independent validation; land-use history; management-confounder analysis,generalizing site-specific land-use or conservation findings globally,580,38,Nature:523; Nature Communications:34; Nature Ecology & Evolution:23,10.1038/s41467-024-46282-z; 10.1038/s41467-024-52993-0; 10.1038/s41467-024-54304-z; 10.1038/s41467-025-63246-z; 10.1038/s41467-025-65751-7; 10.1038/s41467-025-67125-5; 10.1038/s41467-025-67676-7; 10.1038/s41559-025-02664-0,Abstracted pattern generated from reviewer-comment signals; no raw reviewer text stored.
CECO-P0036,forest_land_use_conservation_gate,"Forest, land-use and conservation gate",issue_cluster,major,"For Forest, land-use and conservation gate, reviewers repeatedly flag forest/land/use/conservation when the manuscript's evidence chain does not make this point explicit enough for a broad high-impact-journal audience.",forest; tropical; conservation; deforestation; fsc; biodiversity; management; degraded; land use; protected,forest/land/use/conservation,forest; biodiversity; climate; conservation; species; warming; ecosystem; carbon,clear forest/land-use definitions; site-selection logic; independent validation; land-use history; management-confounder analysis,generalizing site-specific land-use or conservation findings globally,186,20,Nature:173; Nature Communications:11; Nature Ecology & Evolution:2,10.1038/s41467-024-52993-0; 10.1038/s41467-025-63246-z; 10.1038/s41467-025-65751-7; 10.1038/s41467-025-67125-5; 10.1038/s41559-026-03025-1; 10.1038/s41586-024-07083-y; 10.1038/s41586-024-07257-8; 10.1038/s41586-024-07629-0,"Issue cluster distilled from reviewer-comment metadata and signal terms, not from copied prose."
CECO-P0037,forest_land_use_conservation_gate,"Forest, land-use and conservation gate",issue_cluster,major,"For Forest, land-use and conservation gate, reviewers repeatedly flag policy implication when the manuscript's evidence chain does not make this point explicit enough for a broad high-impact-journal audience.",forest; tropical; conservation; deforestation; fsc; biodiversity; management; degraded; land use; protected,policy implication,forest; biodiversity; climate; conservation; species; warming; ecosystem; carbon,clear forest/land-use definitions; site-selection logic; independent validation; land-use history; management-confounder analysis,generalizing site-specific land-use or conservation findings globally,81,23,Nature:65; Nature Ecology & Evolution:10; Nature Communications:6,10.1038/s41467-024-52993-0; 10.1038/s41467-024-54304-z; 10.1038/s41467-025-65751-7; 10.1038/s41559-025-02664-0; 10.1038/s41559-025-02911-4; 10.1038/s41559-025-02966-3; 10.1038/s41559-026-03025-1; 10.1038/s41559-026-03095-1,"Issue cluster distilled from reviewer-comment metadata and signal terms, not from copied prose."
CECO-P0038,forest_land_use_conservation_gate,"Forest, land-use and conservation gate",issue_cluster,major,"For Forest, land-use and conservation gate, reviewers repeatedly flag sampling/representativeness when the manuscript's evidence chain does not make this point explicit enough for a broad high-impact-journal audience.",forest; tropical; conservation; deforestation; fsc; biodiversity; management; degraded; land use; protected,sampling/representativeness,forest; biodiversity; climate; conservation; species; warming; ecosystem; carbon,clear forest/land-use definitions; site-selection logic; independent validation; land-use history; management-confounder analysis,generalizing site-specific land-use or conservation findings globally,69,13,Nature:66; Nature Ecology & Evolution:2; Nature Communications:1,10.1038/s41467-025-67125-5; 10.1038/s41559-025-02966-3; 10.1038/s41559-026-03025-1; 10.1038/s41586-024-07083-y; 10.1038/s41586-024-07257-8; 10.1038/s41586-024-07629-0; 10.1038/s41586-024-07657-w; 10.1038/s41586-024-08106-4,"Issue cluster distilled from reviewer-comment metadata and signal terms, not from copied prose."
CECO-P0039,forest_land_use_conservation_gate,"Forest, land-use and conservation gate",issue_cluster,major,"For Forest, land-use and conservation gate, reviewers repeatedly flag causal overclaim when the manuscript's evidence chain does not make this point explicit enough for a broad high-impact-journal audience.",forest; tropical; conservation; deforestation; fsc; biodiversity; management; degraded; land use; protected,causal overclaim,forest; biodiversity; climate; conservation; species; warming; ecosystem; carbon,clear forest/land-use definitions; site-selection logic; independent validation; land-use history; management-confounder analysis,generalizing site-specific land-use or conservation findings globally,58,14,Nature:48; Nature Communications:6; Nature Ecology & Evolution:4,10.1038/s41467-024-46282-z; 10.1038/s41467-024-52993-0; 10.1038/s41467-024-54304-z; 10.1038/s41467-025-65751-7; 10.1038/s41559-026-03025-1; 10.1038/s41559-026-03095-1; 10.1038/s41586-024-07083-y; 10.1038/s41586-024-07257-8,"Issue cluster distilled from reviewer-comment metadata and signal terms, not from copied prose."
CECO-P0040,forest_land_use_conservation_gate,"Forest, land-use and conservation gate",issue_cluster,should_fix,"For Forest, land-use and conservation gate, reviewers repeatedly flag figure/table clarity when the manuscript's evidence chain does not make this point explicit enough for a broad high-impact-journal audience.",forest; tropical; conservation; deforestation; fsc; biodiversity; management; degraded; land use; protected,figure/table clarity,forest; biodiversity; climate; conservation; species; warming; ecosystem; carbon,clear forest/land-use definitions; site-selection logic; independent validation; land-use history; management-confounder analysis,generalizing site-specific land-use or conservation findings globally,52,13,Nature:47; Nature Ecology & Evolution:4; Nature Communications:1,10.1038/s41467-024-52993-0; 10.1038/s41559-026-03025-1; 10.1038/s41559-026-03095-1; 10.1038/s41586-024-07083-y; 10.1038/s41586-024-07257-8; 10.1038/s41586-024-07629-0; 10.1038/s41586-024-07657-w; 10.1038/s41586-024-08106-4,"Issue cluster distilled from reviewer-comment metadata and signal terms, not from copied prose."
CECO-P0041,model_assumption_validation_gate,Model assumptions and validation gate,abstracted_reviewer_concern,major,"Model-based claims need transparent assumptions, parameter sources, calibration/validation design, and sensitivity analyses for influential parameters.",model; fit; uncertainty; parameter; prediction; robust; validation; assumption; sensitivity; simulation; statistical model; cross-validation,uncertainty; model/assumption/validation; assumption/parameterization; validation; sampling/representativeness; figure/table clarity,forest; climate; warming; species; biodiversity; carbon; ecosystem; soil; nitrogen; wildfire,assumption table; calibration and validation split; independent observations; sensitivity analysis; uncertainty ranges,presenting model output as empirical certainty,479,48,Nature:368; Nature Communications:74; Nature Ecology & Evolution:37,10.1038/s41467-024-46263-2; 10.1038/s41467-024-48640-3; 10.1038/s41467-024-52993-0; 10.1038/s41467-025-63246-z; 10.1038/s41467-025-63428-9; 10.1038/s41467-025-65751-7; 10.1038/s41467-025-67676-7; 10.1038/s41559-025-02746-z,Abstracted pattern generated from reviewer-comment signals; no raw reviewer text stored.
CECO-P0042,model_assumption_validation_gate,Model assumptions and validation gate,abstracted_reviewer_concern,major,Predictive or process models should be evaluated against independent observations appropriate to the scale of the claim.,model; fit; uncertainty; parameter; prediction; robust; validation; assumption; sensitivity; simulation; statistical model; cross-validation,uncertainty; model/assumption/validation; assumption/parameterization; validation; sampling/representativeness; figure/table clarity,forest; climate; warming; species; biodiversity; carbon; ecosystem; soil; nitrogen; wildfire,assumption table; calibration and validation split; independent observations; sensitivity analysis; uncertainty ranges,presenting model output as empirical certainty,479,48,Nature:368; Nature Communications:74; Nature Ecology & Evolution:37,10.1038/s41467-024-46263-2; 10.1038/s41467-024-48640-3; 10.1038/s41467-024-52993-0; 10.1038/s41467-025-63246-z; 10.1038/s41467-025-63428-9; 10.1038/s41467-025-65751-7; 10.1038/s41467-025-67676-7; 10.1038/s41559-025-02746-z,Abstracted pattern generated from reviewer-comment signals; no raw reviewer text stored.
CECO-P0043,model_assumption_validation_gate,Model assumptions and validation gate,abstracted_reviewer_concern,major,Scenario or simulation conclusions should not be presented as empirical fact without uncertainty ranges and robustness checks.,model; fit; uncertainty; parameter; prediction; robust; validation; assumption; sensitivity; simulation; statistical model; cross-validation,uncertainty; model/assumption/validation; assumption/parameterization; validation; sampling/representativeness; figure/table clarity,forest; climate; warming; species; biodiversity; carbon; ecosystem; soil; nitrogen; wildfire,assumption table; calibration and validation split; independent observations; sensitivity analysis; uncertainty ranges,presenting model output as empirical certainty,479,48,Nature:368; Nature Communications:74; Nature Ecology & Evolution:37,10.1038/s41467-024-46263-2; 10.1038/s41467-024-48640-3; 10.1038/s41467-024-52993-0; 10.1038/s41467-025-63246-z; 10.1038/s41467-025-63428-9; 10.1038/s41467-025-65751-7; 10.1038/s41467-025-67676-7; 10.1038/s41559-025-02746-z,Abstracted pattern generated from reviewer-comment signals; no raw reviewer text stored.
CECO-P0044,model_assumption_validation_gate,Model assumptions and validation gate,issue_cluster,major,"For Model assumptions and validation gate, reviewers repeatedly flag uncertainty when the manuscript's evidence chain does not make this point explicit enough for a broad high-impact-journal audience.",model; fit; uncertainty; parameter; prediction; robust; validation; assumption; sensitivity; simulation,uncertainty,forest; climate; warming; species; biodiversity; carbon; ecosystem; soil,assumption table; calibration and validation split; independent observations; sensitivity analysis; uncertainty ranges,presenting model output as empirical certainty,187,42,Nature:157; Nature Communications:25; Nature Ecology & Evolution:5,10.1038/s41467-024-46263-2; 10.1038/s41467-024-48640-3; 10.1038/s41467-024-52993-0; 10.1038/s41467-025-63428-9; 10.1038/s41467-025-65751-7; 10.1038/s41467-025-67676-7; 10.1038/s41559-025-02911-4; 10.1038/s41559-025-02966-3,"Issue cluster distilled from reviewer-comment metadata and signal terms, not from copied prose."
CECO-P0045,model_assumption_validation_gate,Model assumptions and validation gate,issue_cluster,major,"For Model assumptions and validation gate, reviewers repeatedly flag model/assumption/validation when the manuscript's evidence chain does not make this point explicit enough for a broad high-impact-journal audience.",model; fit; uncertainty; parameter; prediction; robust; validation; assumption; sensitivity; simulation,model/assumption/validation,forest; climate; warming; species; biodiversity; carbon; ecosystem; soil,assumption table; calibration and validation split; independent observations; sensitivity analysis; uncertainty ranges,presenting model output as empirical certainty,86,33,Nature:58; Nature Communications:21; Nature Ecology & Evolution:7,10.1038/s41467-024-46263-2; 10.1038/s41467-024-52993-0; 10.1038/s41467-025-63246-z; 10.1038/s41467-025-63428-9; 10.1038/s41559-025-02746-z; 10.1038/s41559-025-02911-4; 10.1038/s41559-025-02966-3; 10.1038/s41586-024-07083-y,"Issue cluster distilled from reviewer-comment metadata and signal terms, not from copied prose."
CECO-P0046,model_assumption_validation_gate,Model assumptions and validation gate,issue_cluster,major,"For Model assumptions and validation gate, reviewers repeatedly flag assumption/parameterization when the manuscript's evidence chain does not make this point explicit enough for a broad high-impact-journal audience.",model; fit; uncertainty; parameter; prediction; robust; validation; assumption; sensitivity; simulation,assumption/parameterization,forest; climate; warming; species; biodiversity; carbon; ecosystem; soil,assumption table; calibration and validation split; independent observations; sensitivity analysis; uncertainty ranges,presenting model output as empirical certainty,71,26,Nature:54; Nature Communications:10; Nature Ecology & Evolution:7,10.1038/s41467-024-46263-2; 10.1038/s41467-024-52993-0; 10.1038/s41467-025-63246-z; 10.1038/s41559-025-02746-z; 10.1038/s41559-025-02966-3; 10.1038/s41586-024-07083-y; 10.1038/s41586-024-07264-9; 10.1038/s41586-024-07629-0,"Issue cluster distilled from reviewer-comment metadata and signal terms, not from copied prose."
CECO-P0047,model_assumption_validation_gate,Model assumptions and validation gate,issue_cluster,major,"For Model assumptions and validation gate, reviewers repeatedly flag validation when the manuscript's evidence chain does not make this point explicit enough for a broad high-impact-journal audience.",model; fit; uncertainty; parameter; prediction; robust; validation; assumption; sensitivity; simulation,validation,forest; climate; warming; species; biodiversity; carbon; ecosystem; soil,assumption table; calibration and validation split; independent observations; sensitivity analysis; uncertainty ranges,presenting model output as empirical certainty,31,11,Nature:23; Nature Ecology & Evolution:6; Nature Communications:2,10.1038/s41467-024-52993-0; 10.1038/s41559-025-02966-3; 10.1038/s41586-024-07264-9; 10.1038/s41586-024-07629-0; 10.1038/s41586-024-08106-4; 10.1038/s41586-024-08185-3; 10.1038/s41586-024-08313-z; 10.1038/s41586-024-08576-6,"Issue cluster distilled from reviewer-comment metadata and signal terms, not from copied prose."
CECO-P0048,model_assumption_validation_gate,Model assumptions and validation gate,issue_cluster,major,"For Model assumptions and validation gate, reviewers repeatedly flag sampling/representativeness when the manuscript's evidence chain does not make this point explicit enough for a broad high-impact-journal audience.",model; fit; uncertainty; parameter; prediction; robust; validation; assumption; sensitivity; simulation,sampling/representativeness,forest; climate; warming; species; biodiversity; carbon; ecosystem; soil,assumption table; calibration and validation split; independent observations; sensitivity analysis; uncertainty ranges,presenting model output as empirical certainty,31,14,Nature:26; Nature Communications:3; Nature Ecology & Evolution:2,10.1038/s41467-024-52993-0; 10.1038/s41467-025-63246-z; 10.1038/s41559-025-02746-z; 10.1038/s41559-026-03095-1; 10.1038/s41586-024-07657-w; 10.1038/s41586-024-08106-4; 10.1038/s41586-024-08185-3; 10.1038/s41586-024-08313-z,"Issue cluster distilled from reviewer-comment metadata and signal terms, not from copied prose."
CECO-P0049,carbon_nitrogen_cycle_gate,Carbon and nitrogen biogeochemistry gate,abstracted_reviewer_concern,major,"Carbon, nitrogen, respiration, sequestration, and emission claims need mass-balance logic, flux-vs-stock clarity, and explicit treatment of conversion factors and process assumptions.",carbon; co2; emission; flux; sink; nitrogen; ch4; respiration; sequestration; n2o; biogeochemical; soil organic,carbon/nitrogen/cycle; novelty/significance; uncertainty; figure/table clarity; causal overclaim; sampling/representativeness,carbon; climate; forest; nitrogen; wildfire; ecosystem; warming; ocean; tundra; soil,measured vs inferred flux distinction; mass-balance checks; parameter provenance; flux/stock units; sensitivity to conversion factors,treating inferred stocks/fluxes as directly measured or policy-ready quantities,446,21,Nature:436; Nature Communications:10,10.1038/s41467-024-46263-2; 10.1038/s41467-025-63246-z; 10.1038/s41586-024-07083-y; 10.1038/s41586-024-07257-8; 10.1038/s41586-024-07274-7; 10.1038/s41586-024-07629-0; 10.1038/s41586-024-07714-4; 10.1038/s41586-024-07878-z,Abstracted pattern generated from reviewer-comment signals; no raw reviewer text stored.
CECO-P0050,carbon_nitrogen_cycle_gate,Carbon and nitrogen biogeochemistry gate,abstracted_reviewer_concern,major,Biogeochemical conclusions should distinguish measured fluxes from inferred fluxes and show whether alternative parameterizations change the main result.,carbon; co2; emission; flux; sink; nitrogen; ch4; respiration; sequestration; n2o; biogeochemical; soil organic,carbon/nitrogen/cycle; novelty/significance; uncertainty; figure/table clarity; causal overclaim; sampling/representativeness,carbon; climate; forest; nitrogen; wildfire; ecosystem; warming; ocean; tundra; soil,measured vs inferred flux distinction; mass-balance checks; parameter provenance; flux/stock units; sensitivity to conversion factors,treating inferred stocks/fluxes as directly measured or policy-ready quantities,446,21,Nature:436; Nature Communications:10,10.1038/s41467-024-46263-2; 10.1038/s41467-025-63246-z; 10.1038/s41586-024-07083-y; 10.1038/s41586-024-07257-8; 10.1038/s41586-024-07274-7; 10.1038/s41586-024-07629-0; 10.1038/s41586-024-07714-4; 10.1038/s41586-024-07878-z,Abstracted pattern generated from reviewer-comment signals; no raw reviewer text stored.
CECO-P0051,carbon_nitrogen_cycle_gate,Carbon and nitrogen biogeochemistry gate,abstracted_reviewer_concern,major,Global carbon/nitrogen extrapolations need transparent scaling from site/product-level evidence to regional or global estimates.,carbon; co2; emission; flux; sink; nitrogen; ch4; respiration; sequestration; n2o; biogeochemical; soil organic,carbon/nitrogen/cycle; novelty/significance; uncertainty; figure/table clarity; causal overclaim; sampling/representativeness,carbon; climate; forest; nitrogen; wildfire; ecosystem; warming; ocean; tundra; soil,measured vs inferred flux distinction; mass-balance checks; parameter provenance; flux/stock units; sensitivity to conversion factors,treating inferred stocks/fluxes as directly measured or policy-ready quantities,446,21,Nature:436; Nature Communications:10,10.1038/s41467-024-46263-2; 10.1038/s41467-025-63246-z; 10.1038/s41586-024-07083-y; 10.1038/s41586-024-07257-8; 10.1038/s41586-024-07274-7; 10.1038/s41586-024-07629-0; 10.1038/s41586-024-07714-4; 10.1038/s41586-024-07878-z,Abstracted pattern generated from reviewer-comment signals; no raw reviewer text stored.
CECO-P0052,carbon_nitrogen_cycle_gate,Carbon and nitrogen biogeochemistry gate,issue_cluster,major,"For Carbon and nitrogen biogeochemistry gate, reviewers repeatedly flag carbon/nitrogen/cycle when the manuscript's evidence chain does not make this point explicit enough for a broad high-impact-journal audience.",carbon; co2; emission; flux; sink; nitrogen; ch4; respiration; sequestration; n2o,carbon/nitrogen/cycle,carbon; climate; forest; nitrogen; wildfire; ecosystem; warming; ocean,measured vs inferred flux distinction; mass-balance checks; parameter provenance; flux/stock units; sensitivity to conversion factors,treating inferred stocks/fluxes as directly measured or policy-ready quantities,173,20,Nature:167; Nature Communications:6,10.1038/s41467-025-63246-z; 10.1038/s41586-024-07083-y; 10.1038/s41586-024-07257-8; 10.1038/s41586-024-07274-7; 10.1038/s41586-024-07629-0; 10.1038/s41586-024-07714-4; 10.1038/s41586-024-07878-z; 10.1038/s41586-024-08106-4,"Issue cluster distilled from reviewer-comment metadata and signal terms, not from copied prose."
CECO-P0053,carbon_nitrogen_cycle_gate,Carbon and nitrogen biogeochemistry gate,issue_cluster,major,"For Carbon and nitrogen biogeochemistry gate, reviewers repeatedly flag novelty/significance when the manuscript's evidence chain does not make this point explicit enough for a broad high-impact-journal audience.",carbon; co2; emission; flux; sink; nitrogen; ch4; respiration; sequestration; n2o,novelty/significance,carbon; climate; forest; nitrogen; wildfire; ecosystem; warming; ocean,measured vs inferred flux distinction; mass-balance checks; parameter provenance; flux/stock units; sensitivity to conversion factors,treating inferred stocks/fluxes as directly measured or policy-ready quantities,57,16,Nature:55; Nature Communications:2,10.1038/s41467-024-46263-2; 10.1038/s41586-024-07083-y; 10.1038/s41586-024-07629-0; 10.1038/s41586-024-07714-4; 10.1038/s41586-024-07878-z; 10.1038/s41586-024-08106-4; 10.1038/s41586-024-08191-5; 10.1038/s41586-025-09023-w,"Issue cluster distilled from reviewer-comment metadata and signal terms, not from copied prose."
CECO-P0054,carbon_nitrogen_cycle_gate,Carbon and nitrogen biogeochemistry gate,issue_cluster,major,"For Carbon and nitrogen biogeochemistry gate, reviewers repeatedly flag uncertainty when the manuscript's evidence chain does not make this point explicit enough for a broad high-impact-journal audience.",carbon; co2; emission; flux; sink; nitrogen; ch4; respiration; sequestration; n2o,uncertainty,carbon; climate; forest; nitrogen; wildfire; ecosystem; warming; ocean,measured vs inferred flux distinction; mass-balance checks; parameter provenance; flux/stock units; sensitivity to conversion factors,treating inferred stocks/fluxes as directly measured or policy-ready quantities,53,11,Nature:53,10.1038/s41586-024-07083-y; 10.1038/s41586-024-07714-4; 10.1038/s41586-024-07878-z; 10.1038/s41586-024-08106-4; 10.1038/s41586-025-09023-w; 10.1038/s41586-025-09423-y; 10.1038/s41586-025-09802-5; 10.1038/s41586-025-09806-1,"Issue cluster distilled from reviewer-comment metadata and signal terms, not from copied prose."
CECO-P0055,carbon_nitrogen_cycle_gate,Carbon and nitrogen biogeochemistry gate,issue_cluster,should_fix,"For Carbon and nitrogen biogeochemistry gate, reviewers repeatedly flag figure/table clarity when the manuscript's evidence chain does not make this point explicit enough for a broad high-impact-journal audience.",carbon; co2; emission; flux; sink; nitrogen; ch4; respiration; sequestration; n2o,figure/table clarity,carbon; climate; forest; nitrogen; wildfire; ecosystem; warming; ocean,measured vs inferred flux distinction; mass-balance checks; parameter provenance; flux/stock units; sensitivity to conversion factors,treating inferred stocks/fluxes as directly measured or policy-ready quantities,42,11,Nature:42,10.1038/s41586-024-07083-y; 10.1038/s41586-024-07714-4; 10.1038/s41586-024-07878-z; 10.1038/s41586-024-08106-4; 10.1038/s41586-025-09023-w; 10.1038/s41586-025-09423-y; 10.1038/s41586-025-09802-5; 10.1038/s41586-025-09806-1,"Issue cluster distilled from reviewer-comment metadata and signal terms, not from copied prose."
CECO-P0056,carbon_nitrogen_cycle_gate,Carbon and nitrogen biogeochemistry gate,issue_cluster,major,"For Carbon and nitrogen biogeochemistry gate, reviewers repeatedly flag causal overclaim when the manuscript's evidence chain does not make this point explicit enough for a broad high-impact-journal audience.",carbon; co2; emission; flux; sink; nitrogen; ch4; respiration; sequestration; n2o,causal overclaim,carbon; climate; forest; nitrogen; wildfire; ecosystem; warming; ocean,measured vs inferred flux distinction; mass-balance checks; parameter provenance; flux/stock units; sensitivity to conversion factors,treating inferred stocks/fluxes as directly measured or policy-ready quantities,40,13,Nature:39; Nature Communications:1,10.1038/s41467-025-63246-z; 10.1038/s41586-024-07083-y; 10.1038/s41586-024-07714-4; 10.1038/s41586-024-07878-z; 10.1038/s41586-024-08106-4; 10.1038/s41586-024-08191-5; 10.1038/s41586-025-09023-w; 10.1038/s41586-025-09423-y,"Issue cluster distilled from reviewer-comment metadata and signal terms, not from copied prose."
CECO-P0057,mechanism_claim_gate,Mechanistic explanation and causal language gate,abstracted_reviewer_concern,major,Mechanistic explanations should be supported by direct evidence or explicitly labelled as hypotheses when only inferred from patterns.,cause; because; drive; explain; driver; process; feedback; mechanism; pathway; causal; mediator,causal overclaim; mechanism/claim; sampling/representativeness; uncertainty; assumption/parameterization; figure/table clarity,forest; climate; biodiversity; species; warming; ecosystem; carbon; nitrogen; soil; conservation,direct mechanism evidence; alternative explanations; causal language calibration; pathway tests,using mechanism or driver language without distinguishing hypothesis from evidence,389,55,Nature:289; Nature Communications:64; Nature Ecology & Evolution:36,10.1038/s41467-024-46263-2; 10.1038/s41467-024-46282-z; 10.1038/s41467-024-48640-3; 10.1038/s41467-024-52993-0; 10.1038/s41467-024-54304-z; 10.1038/s41467-025-59974-x; 10.1038/s41467-025-63246-z; 10.1038/s41467-025-63428-9,Abstracted pattern generated from reviewer-comment signals; no raw reviewer text stored.
CECO-P0058,mechanism_claim_gate,Mechanistic explanation and causal language gate,abstracted_reviewer_concern,major,"Driver language should distinguish observed association, plausible mechanism, and demonstrated causal pathway.",cause; because; drive; explain; driver; process; feedback; mechanism; pathway; causal; mediator,causal overclaim; mechanism/claim; sampling/representativeness; uncertainty; assumption/parameterization; figure/table clarity,forest; climate; biodiversity; species; warming; ecosystem; carbon; nitrogen; soil; conservation,direct mechanism evidence; alternative explanations; causal language calibration; pathway tests,using mechanism or driver language without distinguishing hypothesis from evidence,389,55,Nature:289; Nature Communications:64; Nature Ecology & Evolution:36,10.1038/s41467-024-46263-2; 10.1038/s41467-024-46282-z; 10.1038/s41467-024-48640-3; 10.1038/s41467-024-52993-0; 10.1038/s41467-024-54304-z; 10.1038/s41467-025-59974-x; 10.1038/s41467-025-63246-z; 10.1038/s41467-025-63428-9,Abstracted pattern generated from reviewer-comment signals; no raw reviewer text stored.
